employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10503,Marketing,Growth,Senior Marketing Specialist,2019-08-12,,No,4.2,,75584.0,2.2,1.0,9017
10448,Finance,FP&A,Finance Associate,12/16/2019,,No,2.3,,85153.0,4.9,0.4,9033
10517,Marketing,Brand,Marketing Associate,23-07-2019,,No,2.7,02-07-2021,71008.0,2.2,1.0,9027
10024,SALES,Enterprise,Senior Sales Specialist,06/16/2022,,No,,14-10-2025,,,25.6,9014
10373,FINANCE  ,FP&A,Finance Associate,2019-10-11,,No,2.7,,92189.9,4.1,5.4,9033
10569,marketing,Growth,Senior Marketing Specialist,02/17/2023,04-01-2026,Yes,4.9,,79201.0,3.6,0.6,9017
10322,support,Tier 2,Support Associate,23-07-2024,,No,2.8,,50695.0,3.3,0.7,9027
10525,Marketing,Growth,Marketing Associate,04/18/2020,,No,2.8,,64018.0,3.1,1.5,9017
10008,sales,SMB,Sales Associate,11-09-2023,,No,2.2,10/31/2025,57337.0,2.7,4.5,9027
10356,support,Tier 2,Support Associate,2021-08-11,,No,3.4,01/20/2026,52648.0,3.0,0.3,9027
10591,marketing,Brand,Marketing Associate,2020-03-09,,No,2.4,,64670.0,4.2,0.5,9027
10454,Finance,FP&A,Finance Associate,27-04-2023,,No,3.1,20-05-2026,88151.0,3.6,2.5,9033
10171,engineering,Platform,Senior Engineering Specialist,11/16/2022,2026-01-22,Yes,4.0,05/04/2026,111909.0,3.2,5.9,9014
10563,Marketing,Growth,Senior Marketing Specialist,09/01/2022,,No,4.0,,71342.0,3.3,3.2,9017
10170,Engineering,Product Eng,Senior Engineering Specialist,2020-06-17,,No,4.0,2023-10-21,120673.0,3.4,2.0,9009
10297,support,Tier 1,Support Associate,09/19/2023,,No,2.6,,53795.0,2.2,4.0,9004
10386,FINANCE,Accounting,Finance Associate,21-08-2024,,No,2.1,,86898.0,3.7,12.6,9004
