employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10683,Support,Tier 1,Senior Support Specialist,2020-05-15,,No,4.6,,54746.0,2.7,3.2,9000
10746,FINANCE,Accounting,Senior Finance Specialist,2022-11-02,,No,,,,,1.7,9003
10735,Finance,FP&A,Finance Associate,02/12/2022,10/09/2024,Yes,3.4,,88036.0,2.2,3.6,9014
10326,engineering,Platform,Engineering Associate,14-04-2018,,No,1.3,,94825.0,2.7,25.7,9032
10731,Finance,FP&A,Senior Finance Specialist,2019-01-11,,No,3.7,,71998.0,4.5,0.4,9014
11033,marketing,Brand,Marketing Associate,2021-05-07,,No,2.7,,65336.0,4.1,1.8,9026
10246,engineering,Data Eng,Senior Engineering Specialist,11-10-2018,06/14/2026,Yes,4.2,,103158.0,3.5,4.1,9008
10117,sales,Enterprise,Sales Associate,2021-11-15,,No,2.4,,49481.0,2.5,1.2,9018
10379,Engineering ,Product Eng,Engineering Associate,2021-09-18,,No,3.4,,105139.0,3.6,21.3,9019
10237,sales,Enterprise,Sales Associate,2018-05-21,2020-11-11,Yes,2.3,02-01-2021,50225.0,3.2,0.2,9018
10837,FINANCE,FP&A,Senior Finance Specialist,06-04-2020,,No,,2022-12-27,,,0.3,9014
10413,Engineering ,Platform,Senior Engineering Specialist,10-02-2020,,No,4.7,04-04-2024,107306.0,2.5,5.0,9032
10495,support,Tier 2,Senior Support Specialist,17-08-2020,,No,4.2,2026-01-04,56034.0,3.4,0.5,9038
10997,marketing,Brand,Marketing Associate,2024-12-23,,No,2.0,,71059.0,3.4,6.3,9026
11158,Marketing,Brand,Senior Marketing Specialist,2022-01-21,,No,5.0,,76393.0,5.0,7.4,9026
10705,support,Tier 2,Support Associate,09/19/2018,,No,2.1,,47435.0,4.6,3.0,9038
11040,marketing,Brand,Marketing Associate,2018-04-22,,No,1.0,,66855.0,2.7,6.7,9026
10296,Engineering ,Data Eng,Senior Engineering Specialist,2020-12-30,,No,4.7,,105652.0,3.5,6.0,9008
10144,Sales,Enterprise,Sales Associate,2018-05-19,,No,3.1,,52868.0,2.2,3.9,9018
10161,SALES,SMB,Sales Associate,2020-09-27,,No,3.0,,61040.0,1.0,1.8,9037
10704,Support,Tier 2,Support Associate,03/12/2018,,No,3.1,,54715.0,2.5,3.5,9038
11176,marketing,Growth,Marketing Associate,05/09/2018,,No,3.4,,73157.0,3.7,2.0,9021
10402,Engineering ,Product Eng,Engineering Associate,08/28/2024,,No,3.6,,107656.0,3.5,1.0,9019
10669,Support,Tier 1,Senior Support Specialist,05/02/2021,,No,3.7,,48371.0,3.1,2.6,9000
10351,engineering,Product Eng,Engineering Associate,02/15/2021,06/20/2023,Yes,3.6,,105763.0,4.2,3.8,9019
11096,marketing,Brand,Marketing Associate,11/12/2019,,No,3.5,05/31/2024,72169.0,3.7,0.1,9026
10612,support,Tier 2,Support Associate,2020-11-23,,No,3.2,,54233.0,2.4,2.8,9038
10155,Sales,Enterprise,Sales Associate,2023-05-03,,No,2.0,,53464.0,4.4,4.9,9018
10344,engineering,Data Eng,Engineering Associate,21-11-2024,,No,3.0,,105040.0,5.0,21.9,9008
10781,Finance,Accounting,Finance Associate,28-04-2022,,No,3.5,2025-08-19,79272.0,4.4,0.3,9003
10998,marketing,Brand,Senior Marketing Specialist,2021-07-20,,No,4.0,,66653.0,1.4,0.6,9026
10872,Finance,FP&A,Finance Associate,05/01/2024,,No,2.0,06/24/2026,69759.0,4.6,0.4,9014
10785,FINANCE,Accounting,Finance Associate,03/25/2025,,No,,01/15/2026,,,12.9,9003
10301,Engineering,Product Eng,Engineering Associate,10/26/2024,,No,3.7,16-06-2025,99998.0,2.8,5.3,9019
10894,Finance,Accounting,Finance Associate,14-03-2025,,No,1.9,06/05/2026,58338.0,3.0,3.2,9003
10940,FINANCE,FP&A,Senior Finance Specialist,12-12-2022,,No,4.5,,79413.0,1.9,0.4,9014
10226,sales,Enterprise,Sales Associate,08/09/2018,,No,2.7,,51285.0,3.9,1.2,9018
10173,Sales,SMB,Senior Sales Specialist,09/18/2018,,No,3.9,,49658.0,3.1,1.4,9037
10408,Engineering ,Data Eng,Senior Engineering Specialist,09-12-2020,,No,4.3,,107846.0,1.6,5.7,9008
10482,support,Tier 2,Support Associate,2022-09-19,,No,2.6,2023-07-15,56619.0,4.5,7.4,9038
10582,Support,Tier 2,Support Associate,01/27/2019,,No,,01/19/2024,,,1.3,9038
10352,Engineering,Product Eng,Engineering Associate,2021-05-26,,No,2.5,,102190.0,2.7,0.3,9019
10955,Finance,Accounting,Finance Associate,29-07-2019,,No,2.6,02-03-2021,75576.0,4.1,2.2,9003
10502,support,Tier 2,Support Associate,2025-03-25,,No,2.7,2025-11-14,48645.0,3.5,2.0,9038
10064,Sales,Mid-Market,Sales Associate,02/24/2019,,No,,,54934.0,,0.8,9009
10961,marketing,Brand,Marketing Associate,05-08-2018,,No,3.3,,80338.0,3.1,5.7,9026
10293,Engineering ,Data Eng,Engineering Associate,20-10-2019,,No,2.5,11/08/2024,94231.0,2.6,1.9,9008
10089,SALES,Enterprise,Senior Sales Specialist,2020-12-08,,No,4.3,09-03-2023,64574.0,3.0,1.7,9018
10658,Support,Tier 2,Support Associate,08/07/2020,,No,2.7,2021-06-10,48988.0,3.2,7.5,9038
10339,Engineering,Data Eng,Engineering Associate,2024-05-22,25-01-2026,Yes,1.4,,98450.0,4.8,0.6,9008
10916,Finance,FP&A,Finance Associate,09/07/2020,,No,3.1,,76815.0,4.4,2.8,9014
10416,Engineering,Data Eng,Engineering Associate,19-07-2021,,No,2.8,,107967.0,3.2,2.3,9008
