employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10702,support,Tier 2,Support Associate,07/07/2021,,No,,,47991.0,,4.5,9038
10187,sales,Enterprise,Senior Sales Specialist,01-02-2022,,No,,,,,2.7,9018
10014,Sales,Mid-Market,Sales Associate,18-01-2021,,No,3.5,01/01/2025,61326.0,5.0,1.8,9009
11135,marketing,Growth,Marketing Associate,2021-09-30,,No,2.4,21-12-2022,68616.0,4.3,1.1,9021
11166,Marketing,Growth,Marketing Associate,06/18/2018,,No,2.7,,62836.0,4.7,1.2,9021
10046,SALES,Enterprise,Senior Sales Specialist,20-01-2022,,No,4.7,,56928.0,3.5,0.3,9018
10644,Support,Tier 2,Support Associate,2020-03-31,2024-07-17,Yes,2.4,,52808.0,3.1,4.8,9038
11178,marketing,Brand,Marketing Associate,01-10-2022,,No,1.6,,68680.0,3.9,2.0,9026
11085,Marketing,Brand,Marketing Associate,02-06-2023,,No,2.9,31-07-2024,59709.0,4.1,4.6,9026
10710,support,Tier 2,Support Associate,2019-08-04,,No,1.9,,46813.0,3.3,0.1,9038
10759,FINANCE,FP&A,Senior Finance Specialist,09-12-2023,,No,4.3,2026-01-15,74643.0,4.1,1.0,9014
10588,Support,Tier 1,Support Associate,21-01-2020,,No,2.1,,47477.0,3.7,0.0,9000
10036,sales,SMB,Sales Associate,28-05-2025,,No,,,,,0.3,9037
10711,support,Tier 1,Support Associate,04/17/2021,,No,3.3,,59380.0,4.8,5.6,9000
10135,SALES,Enterprise,Sales Associate,28-11-2020,,No,,,,,4.4,9018
11069,Marketing,Growth,Senior Marketing Specialist,2023-09-29,,No,3.9,,67691.0,4.2,5.7,9021
10043,Sales,SMB,Sales Associate,2019-09-23,,No,3.2,2022-12-04,55493.0,2.0,6.7,9037
10432,engineering,Product Eng,Engineering Associate,01-09-2019,,No,2.5,13-03-2026,110381.0,1.0,0.4,9019
10363,engineering,Platform,Engineering Associate,10-01-2021,,No,3.3,03/05/2024,97173.0,2.9,22.3,9032
10246,Engineering ,Product Eng,Engineering Associate,04-12-2023,,No,,,112255.0,,3.6,9019
10453,engineering,Data Eng,Senior Engineering Specialist,02-07-2023,,No,4.1,,101065.0,2.2,1.1,9008
10210,sales,Enterprise,Sales Associate,11/24/2019,,No,3.0,,59791.0,2.0,1.7,9018
11038,Marketing,Brand,Senior Marketing Specialist,2022-02-12,,No,4.1,,80038.0,3.7,4.1,9026
10320,Engineering,Data Eng,Senior Engineering Specialist,04/20/2021,,No,4.0,05/06/2022,113059.0,3.1,10.1,9008
10729,FINANCE,FP&A,Senior Finance Specialist,04/06/2023,,No,4.2,10/09/2025,77294.0,4.9,1.1,9014
10151,sales,Mid-Market,Sales Associate,29-06-2019,,No,3.3,01/11/2024,55497.0,3.4,2.2,9009
11067,marketing,Growth,Senior Marketing Specialist,16-04-2022,,No,4.0,,84250.0,2.8,3.2,9021
10264,engineering,Data Eng,Engineering Associate,02/27/2019,,No,3.5,2025-09-01,103994.0,1.6,71.3,9008
10205,SALES,Enterprise,Senior Sales Specialist,2021-06-16,,No,4.3,,57654.0,3.0,1.0,9018
10750,Finance,FP&A,Finance Associate,2020-07-31,,No,2.2,,67188.0,3.3,0.0,9014
10155,Sales,Enterprise,Sales Associate,04-08-2023,,No,2.5,08/28/2025,57262.0,5.0,0.7,9018
10928,FINANCE,Accounting,Senior Finance Specialist,12-10-2024,,No,4.5,,92391.0,3.7,1.9,9003
10749,Finance,FP&A,Senior Finance Specialist,2019-07-07,,No,4.1,,77504.0,1.9,3.5,9014
10686,support,Tier 2,Support Associate,2019-09-20,,No,3.3,2022-07-20,51283.0,3.6,1.0,9038
10250,Engineering,Platform,Engineering Associate,2024-01-04,10-11-2025,Yes,2.8,,102257.0,1.2,9.5,9032
10612,Support,Tier 2,Support Associate,01/17/2021,,No,3.2,04/18/2023,45908.0,3.9,2.4,9038
10441,Engineering,Data Eng,Engineering Associate,29-09-2023,,No,,,,,1.6,9008
10648,Support,Tier 1,Support Associate,25-09-2020,,No,3.2,,47185.0,3.9,1.4,9000
10357,Engineering ,Data Eng,Engineering Associate,04/10/2021,,No,2.8,,109545.0,4.2,2.2,9008
10178,Sales,Mid-Market,Sales Associate,03/21/2018,,No,3.3,,55398.0,1.9,2.8,9009
10672,Support,Tier 2,Support Associate,17-01-2021,,No,1.0,10/15/2023,40233.0,2.4,2.4,9038
10854,Finance,FP&A,Finance Associate,05/01/2024,,No,2.3,05/05/2025,79675.0,3.6,0.4,9014
10583,support,Tier 2,Support Associate,06-05-2021,,No,3.5,2023-08-30,56937.0,4.6,0.6,9038
10765,FINANCE,FP&A,Senior Finance Specialist,2021-12-26,,No,4.1,,73549.0,2.3,0.3,9014
10310,engineering,Product Eng,Engineering Associate,12/26/2022,,No,2.8,,102264.0,3.6,18.7,9019
10622,support,Tier 1,Support Associate,08-04-2023,,No,3.0,2025-03-30,54283.0,2.9,0.9,9000
10557,Support,Tier 1,Support Associate,2021-01-19,,No,3.0,,54392.0,3.7,0.1,9000
11029,Marketing,Growth,Marketing Associate,10-01-2019,,No,2.1,,68036.0,5.0,3.4,9021
10611,Support,Tier 2,Support Associate,2019-02-09,,No,,,,,4.7,9038
10130,Sales,SMB,Senior Sales Specialist,07-01-2023,,No,4.1,05/16/2025,51869.0,3.2,2.5,9037
10279,engineering,Product Eng,Senior Engineering Specialist,2018-10-16,,No,3.8,2020-07-09,93924.0,4.3,9.0,9019
10632,support,Tier 1,Support Associate,06/17/2023,,No,1.4,,45515.0,2.0,3.7,9000
11190,marketing,Brand,Marketing Associate,2022-01-11,,No,2.9,03/23/2025,72957.0,3.1,3.4,9026
