employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10662,Support,Tier 2,Senior Support Specialist,2020-01-14,,No,4.0,,54643.0,4.0,18.2,9018
10221,Sales,Enterprise,Sales Associate,26-05-2024,,No,3.2,26-11-2025,59227.0,4.6,2.4,9008
10156,sales,SMB,Senior Sales Specialist,2021-02-04,,No,3.9,,57137.0,2.4,4.3,9022
10678,support,Tier 1,Support Associate,2018-05-11,,No,,,45188.0,,3.9,9002
10912,Finance,Accounting,Finance Associate,2024-10-12,,No,3.3,,85395.0,1.3,1.1,9010
10169,SALES,Mid-Market,Sales Associate,01/25/2019,,No,3.0,2021-04-09,48972.0,3.4,0.4,9028
11088,marketing,Growth,Marketing Associate,23-02-2022,,No,1.0,,65722.0,5.0,6.0,9025
10114,sales,SMB,Sales Associate,07/31/2022,,No,1.2,,57498.0,2.0,3.8,9022
10606,support,Tier 1,Support Associate,09-10-2022,,No,3.1,25-09-2023,53480.0,3.8,11.9,9002
10537,support,Tier 2,Senior Support Specialist,28-10-2021,28-03-2023,Yes,3.9,,49153.0,3.1,1.0,9018
10831,Finance,Accounting,Finance Associate,25-11-2021,,No,1.9,05/13/2025,70678.0,3.9,2.8,9010
10382,Engineering,Product Eng,Senior Engineering Specialist,2021-11-28,24-09-2022,Yes,3.8,,120242.0,4.1,5.2,9014
10719,Support,Tier 2,Support Associate,2020-01-24,,No,3.5,09/21/2022,50973.0,1.7,2.2,9018
10595,Support,Tier 2,Support Associate,16-05-2020,,No,2.7,,49475.0,4.1,1.4,9018
10108,sales,Enterprise,Sales Associate,11/11/2019,,No,3.7,,50584.0,,2.8,9008
10573,Support,Tier 2,Support Associate,07-06-2022,06/22/2023,Yes,1.9,,46694.0,3.8,0.1,9018
10901,Finance,FP&A,Finance Associate,10/08/2023,,No,3.6,,87417.0,1.9,3.8,9027
10362,engineering,Data Eng,Engineering Associate,04/04/2024,,No,2.2,,106218.0,2.9,1.4,9013
10714,Support,Tier 1,Senior Support Specialist,10/28/2022,,No,4.0,2026-06-25,58124.0,5.0,0.4,9002
10623,Support,Tier 2,Support Associate,31-07-2024,,No,2.9,22-02-2026,44810.0,3.1,3.5,9018
10364,Engineering ,Platform,Senior Engineering Specialist,08/04/2019,,No,3.9,,110108.0,2.6,9.5,9003
10729,Finance,Accounting,Finance Associate,08/17/2021,,No,2.8,,74900.0,4.8,0.7,9010
10045,SALES,Mid-Market,Senior Sales Specialist,2022-12-15,,No,,14-11-2023,,,2.7,9028
10680,support,Tier 1,Senior Support Specialist,18-01-2022,,No,4.0,,50503.0,3.6,2.0,9002
10853,Finance,Accounting,Finance Associate,10-12-2024,,No,3.5,,81018.0,4.1,3.5,9010
10299,engineering,Data Eng,Senior Engineering Specialist,08/25/2018,,No,4.3,2019-05-21,100703.0,4.1,4.1,9013
10353,engineering,Product Eng,Engineering Associate,10/06/2024,,No,2.9,24-10-2025,105636.0,1.9,1.8,9014
10731,FINANCE,FP&A,Finance Associate,09-01-2019,,No,2.8,22-05-2025,71597.0,1.5,5.0,9027
10844,Finance,Accounting,Finance Associate,14-11-2022,,No,3.5,,74507.0,4.6,0.1,9010
10271,Engineering ,Platform,Senior Engineering Specialist,07/30/2018,,No,4.8,,118199.0,2.3,0.6,9003
10433,Engineering,Platform,Senior Engineering Specialist,11/05/2019,05/12/2021,Yes,4.3,,134792.0,2.6,12.7,9003
11099,marketing,Brand,Marketing Associate,31-07-2023,,No,3.5,2024-09-22,68249.0,3.3,0.8,9012
10584,Support,Tier 1,Support Associate,14-12-2020,,No,1.8,,40241.0,4.4,3.5,9002
10928,Finance,FP&A,Finance Associate,08/21/2024,2026-04-16,Yes,2.6,,81977.0,2.3,2.1,9027
11019,marketing,Brand,Senior Marketing Specialist,04/11/2025,,No,4.1,26-10-2025,74674.0,3.2,0.1,9012
10911,Finance,FP&A,Finance Associate,2019-02-12,,No,3.1,,77951.0,1.8,0.3,9027
10044,SALES,Enterprise,Sales Associate,02/11/2025,,No,2.3,2025-10-15,58920.0,2.6,0.7,9008
10755,Finance,Accounting,Finance Associate,12/18/2019,,No,2.7,,85477.0,2.8,4.4,9010
10199,SALES,Mid-Market,Sales Associate,13-10-2019,,No,2.4,2024-01-25,57198.0,4.0,0.1,9028
10599,support,Tier 1,Support Associate,06/03/2025,,No,,2026-05-04,51734.0,,1.2,9002
11110,Marketing,Brand,Marketing Associate,04/11/2022,,No,3.2,,80636.0,3.8,0.6,9012
10424,Engineering,Data Eng,Engineering Associate,20-09-2020,,No,,,,,10.7,9013
10598,support,Tier 1,Senior Support Specialist,2019-07-06,03-02-2026,Yes,4.2,11/13/2021,58629.0,2.4,0.9,9002
10707,Support,Tier 1,Support Associate,2020-02-03,,No,3.5,,56345.0,4.4,8.3,9002
10984,Marketing,Growth,Marketing Associate,2021-04-05,01-12-2025,Yes,2.8,,65041.0,1.4,4.1,9025
10740,FINANCE,FP&A,Finance Associate,14-04-2021,,No,1.9,,79228.0,3.0,4.6,9027
10946,FINANCE,FP&A,Finance Associate,2022-12-18,,No,1.7,2024-11-20,73036.0,3.5,0.6,9027
10378,Engineering,Platform,Senior Engineering Specialist,04-05-2024,,No,3.9,08/08/2025,111106.0,2.1,10.7,9003
11190,marketing,Growth,Marketing Associate,19-09-2024,,No,3.0,,68422.0,2.5,0.4,9025
10959,FINANCE,Accounting,Finance Associate,14-04-2022,,No,2.9,,73001.0,3.3,4.1,9010
10794,Finance,FP&A,Finance Associate,12/06/2020,,No,2.6,2024-05-19,80024.0,3.6,0.3,9027
10102,sales,SMB,Sales Associate,01/20/2023,,No,,,,,4.2,9022
10559,Support,Tier 2,Support Associate,26-03-2023,,No,2.9,17-08-2024,47839.0,4.4,0.0,9018
10293,Engineering,Data Eng,Senior Engineering Specialist,2019-04-26,,No,4.0,04/14/2022,114529.0,3.4,7.2,9013
10077,sales,SMB,Sales Associate,04/02/2022,,No,3.0,11/13/2024,53594.0,2.8,4.7,9022
