employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10052,sales,Enterprise,Senior Sales Specialist,2022-09-26,,No,,,52135.0,,5.6,9018
10523,Support,Tier 1,Support Associate,09/22/2019,,No,3.0,,56148.0,4.1,1.9,9000
10180,sales,SMB,Sales Associate,26-02-2020,,No,2.6,29-11-2025,54195.0,2.5,2.8,9037
11173,Marketing,Brand,Marketing Associate,16-06-2020,,No,3.7,08/26/2023,83181.0,3.9,6.6,9026
10938,FINANCE,Accounting,Senior Finance Specialist,09/14/2024,,No,4.0,,87168.0,2.4,6.2,9003
11152,marketing,Brand,Marketing Associate,2018-09-08,,No,3.0,30-04-2025,68383.0,3.0,6.6,9026
10206,sales,Enterprise,Sales Associate,2022-06-23,,No,3.2,2024-08-17,54920.0,2.9,3.8,9018
11090,marketing,Growth,Senior Marketing Specialist,08/09/2019,,No,3.9,21-07-2023,67954.0,2.2,3.1,9021
10657,Support,Tier 1,Support Associate,2024-09-05,,No,2.1,2025-04-08,45478.0,3.8,1.2,9000
11114,Marketing,Brand,Marketing Associate,29-03-2023,2024-01-17,Yes,3.1,02/28/2025,72711.0,2.6,11.2,9026
10035,Sales,Mid-Market,Sales Associate,2019-07-25,,No,,,,,1.1,9009
10736,FINANCE,FP&A,Finance Associate,08/09/2024,,No,3.4,04-04-2025,86914.0,1.0,2.2,9014
10064,sales,Enterprise,Senior Sales Specialist,2020-12-14,,No,,,63890.0,,2.7,9018
10642,support,Tier 2,Support Associate,02-08-2022,,No,3.0,12/03/2023,49341.0,2.8,0.6,9038
10762,Finance,FP&A,Finance Associate,2019-10-10,,No,3.5,,76594.0,3.9,1.3,9014
10928,FINANCE,FP&A,Finance Associate,03/16/2024,,No,2.6,2024-12-01,78052.0,4.3,2.8,9014
10455,Engineering,Product Eng,Engineering Associate,03/03/2021,23-03-2026,Yes,2.6,,104663.0,3.4,2.4,9019
10356,Engineering ,Data Eng,Engineering Associate,2020-05-02,,No,2.3,26-11-2025,93210.0,3.6,22.3,9008
11073,marketing,Growth,Senior Marketing Specialist,12/05/2019,,No,3.9,,71782.0,1.9,1.0,9021
10446,Engineering,Product Eng,Engineering Associate,2019-09-09,,No,2.9,,106246.0,2.1,1.5,9019
10351,engineering,Product Eng,Engineering Associate,06/11/2022,,No,2.3,,109975.0,4.6,0.7,9019
10173,sales,SMB,Sales Associate,28-03-2020,,No,3.0,,49952.0,4.7,2.6,9037
10514,Support,Tier 2,Support Associate,13-05-2018,,No,2.9,01/13/2021,56227.0,3.3,2.0,9038
10628,Support,Tier 2,Support Associate,2020-12-22,,No,3.3,,53033.0,4.1,7.2,9038
11164,Marketing,Brand,Marketing Associate,2022-10-22,,No,,2024-11-06,,,2.6,9026
10791,Finance,Accounting,Senior Finance Specialist,09/22/2022,,No,4.4,,85089.0,2.8,3.5,9003
10373,Engineering,Data Eng,Engineering Associate,01/16/2025,,No,1.8,,90402.0,5.0,0.7,9008
10254,engineering,Product Eng,Engineering Associate,03-07-2021,,No,2.9,,112858.0,3.2,3.0,9019
11038,marketing,Brand,Marketing Associate,17-11-2022,,No,3.1,2025-08-16,60180.0,4.6,0.0,9026
10632,support,Tier 2,Senior Support Specialist,18-08-2019,,No,5.0,03-08-2020,56766.0,2.5,3.8,9038
10453,Engineering ,Product Eng,Engineering Associate,11/12/2022,,No,1.4,09/28/2025,100444.0,3.4,17.1,9019
10545,support,Tier 2,Support Associate,09-11-2023,2025-11-08,Yes,,,48920.0,,4.9,9038
10526,support,Tier 1,Support Associate,2023-03-07,,No,2.5,2025-12-24,47949.0,4.4,0.1,9000
10190,sales,Mid-Market,Senior Sales Specialist,05/07/2018,29-04-2024,Yes,3.8,,62759.0,,0.1,9009
10102,Sales,Mid-Market,Sales Associate,2025-04-05,,No,2.0,2025-10-22,53531.0,4.2,7.8,9009
10735,FINANCE,FP&A,Finance Associate,03-09-2019,2024-06-25,Yes,3.4,,76940.0,2.8,0.4,9014
10335,Engineering ,Platform,Engineering Associate,09/22/2022,,No,2.3,,98479.0,,4.1,9032
10997,Marketing,Brand,Marketing Associate,2020-01-06,,No,2.3,,74318.0,3.3,0.8,9026
10447,engineering,Data Eng,Engineering Associate,04-07-2019,,No,3.5,01/13/2022,101140.0,2.4,1.9,9008
10171,Sales,Mid-Market,Senior Sales Specialist,07/12/2023,,No,3.8,2025-07-05,55271.0,1.5,1.5,9009
10633,support,Tier 1,Senior Support Specialist,2020-07-18,,No,4.1,,51797.0,2.9,5.0,9000
10370,Engineering,Data Eng,Senior Engineering Specialist,07/13/2018,,No,3.9,05-08-2022,110053.0,5.0,6.2,9008
10286,Engineering,Product Eng,Engineering Associate,05-07-2023,,No,2.5,,114918.0,1.1,9.4,9019
11061,Marketing,Growth,Marketing Associate,02-02-2019,,No,2.9,,82595.0,5.0,0.7,9021
10573,Support,Tier 1,Senior Support Specialist,06/27/2022,,No,4.6,,53907.0,2.8,9.5,9000
10028,sales,Enterprise,Sales Associate,10/14/2024,,No,3.4,,63516.0,3.6,3.8,9018
10427,engineering,Data Eng,Engineering Associate,2025-02-14,,No,2.9,,111486.0,2.4,9.0,9008
11136,Marketing,Brand,Marketing Associate,04/22/2021,,No,3.4,,69253.0,5.0,4.2,9026
10279,engineering,Data Eng,Senior Engineering Specialist,05/08/2021,,No,4.2,,111835.0,3.1,1.9,9008
11110,marketing,Growth,Marketing Associate,22-11-2018,,No,3.3,,66096.0,2.9,1.8,9021
10666,support,Tier 2,Senior Support Specialist,13-09-2020,,No,4.2,,56133.0,5.0,3.0,9038
10962,marketing,Growth,Marketing Associate,2023-07-13,,No,3.5,,69217.0,2.1,0.6,9021
10651,Support,Tier 2,Support Associate,2019-06-07,,No,2.0,,46808.0,2.2,2.1,9038
10681,Support,Tier 2,Support Associate,03/15/2019,,No,3.2,,53501.0,4.0,2.9,9038
10499,support,Tier 1,Support Associate,24-06-2019,,No,2.3,05-03-2025,50383.0,2.8,10.5,9000
10114,sales,Mid-Market,Sales Associate,2021-07-10,,No,2.9,,58081.0,3.7,3.1,9009
10129,sales,Mid-Market,Senior Sales Specialist,05/12/2019,,No,,08-11-2022,,,0.0,9009
10653,Support,Tier 2,Support Associate,14-11-2021,,No,3.6,23-01-2025,46783.0,1.8,2.6,9038
10674,support,Tier 2,Support Associate,2021-07-12,,No,3.4,,52201.0,3.4,2.3,9038
10047,sales,Enterprise,Sales Associate,11/02/2020,,No,,2021-11-09,,,4.4,9018
11149,marketing,Brand,Senior Marketing Specialist,2019-08-01,,No,3.8,2024-08-17,72925.0,2.4,3.2,9026
11188,Marketing,Brand,Marketing Associate,05-06-2018,,No,,,66547.0,,6.2,9026
10397,Engineering ,Data Eng,Engineering Associate,2021-08-18,,No,3.1,,117798.0,4.2,0.5,9008
10510,Support,Tier 1,Support Associate,2021-09-03,,No,2.4,03/23/2025,52147.0,4.3,0.4,9000
10798,Finance,FP&A,Senior Finance Specialist,12/10/2022,,No,4.5,09/17/2024,79262.0,2.6,8.8,9014
10456,Engineering,Data Eng,Engineering Associate,13-09-2024,,No,2.7,04/16/2026,101035.0,3.2,7.2,9008
10987,marketing,Brand,Marketing Associate,17-01-2021,,No,3.4,,56366.0,2.4,1.8,9026
10644,support,Tier 2,Senior Support Specialist,19-12-2019,,No,3.9,,62906.0,3.7,2.1,9038
10661,support,Tier 1,Support Associate,17-09-2018,,No,3.1,11/21/2022,57232.0,3.0,3.3,9000
10725,Finance,FP&A,Senior Finance Specialist,01/12/2020,,No,4.0,,79078.0,3.8,0.9,9014
10925,Finance,FP&A,Senior Finance Specialist,2025-06-02,,No,5.0,2026-06-17,89640.0,3.4,3.8,9014
10621,support,Tier 2,Senior Support Specialist,04/09/2022,2026-01-26,Yes,4.6,28-12-2023,55603.0,,1.2,9038
10221,Sales,Mid-Market,Sales Associate,05/28/2019,,No,3.6,,57179.0,,1.9,9009
10409,Engineering,Platform,Senior Engineering Specialist,04-03-2018,,No,4.6,,119161.0,4.0,3.4,9032
10922,FINANCE,Accounting,Senior Finance Specialist,02/06/2022,,No,4.4,28-03-2023,89364.0,4.0,2.5,9003
10285,engineering,Platform,Engineering Associate,12/27/2020,,No,2.9,2024-09-06,102264.0,3.6,0.6,9032
10879,FINANCE,FP&A,Senior Finance Specialist,06-06-2018,,No,3.7,,78059.0,2.6,0.6,9014
10368,Engineering ,Data Eng,Engineering Associate,02-08-2023,,No,3.6,,106108.0,3.4,1.6,9008
11174,Marketing,Brand,Senior Marketing Specialist,04/04/2023,,No,4.1,,70143.0,3.6,3.9,9026
10431,engineering,Product Eng,Engineering Associate,2020-10-29,,No,1.9,,92828.0,4.0,3.5,9019
10759,Finance,Accounting,Finance Associate,23-04-2022,,No,1.9,03/07/2025,77533.0,4.2,0.5,9003
10061,Sales,Mid-Market,Senior Sales Specialist,2025-02-17,,No,4.1,,59215.0,1.9,17.3,9009
10229,Sales,SMB,Senior Sales Specialist,22-05-2020,,No,3.8,,65501.0,3.6,1.1,9037
10826,Finance,FP&A,Senior Finance Specialist,08-10-2022,,No,4.0,,75801.0,3.3,2.6,9014
10362,Engineering ,Product Eng,Engineering Associate,2021-12-28,,No,2.2,,96554.0,4.1,6.0,9019
10650,support,Tier 2,Senior Support Specialist,01-07-2022,,No,3.9,01/02/2025,45032.0,4.1,8.3,9038
10542,support,Tier 2,Support Associate,30-11-2023,,No,2.1,03-02-2025,51884.0,4.0,10.2,9038
11178,Marketing,Brand,Senior Marketing Specialist,08-09-2024,,No,4.8,,78687.0,3.2,6.8,9026
11105,marketing,Growth,Marketing Associate,2020-12-14,,No,3.4,24-04-2023,74402.0,3.2,3.2,9021
10111,sales,Enterprise,Sales Associate,21-12-2020,,No,3.5,,53696.0,3.4,1.2,9018
10529,Support,Tier 2,Support Associate,10/10/2018,,No,1.9,04/11/2026,41113.0,4.8,0.4,9038
10627,Support,Tier 1,Support Associate,2022-11-04,,No,2.8,2025-02-08,52312.0,1.2,2.5,9000
10464,Engineering,Data Eng,Engineering Associate,08/13/2023,,No,3.1,,106921.0,3.7,0.2,9008
11169,Marketing,Growth,Marketing Associate,18-05-2025,,No,1.0,,64981.0,4.7,1.5,9021
10290,engineering,Data Eng,Engineering Associate,2019-07-29,,No,3.4,,105801.0,4.1,14.9,9008
10010,sales,SMB,Sales Associate,2021-10-25,,No,1.6,,46969.0,4.9,1.1,9037
