department,team,headcount,attritions,attrition_rate,top_performers,top_performer_attritions,top_performer_attrition_rate,avg_compensation,avg_compensation_leavers_top,avg_compensation_stayers_top,comp_gap,avg_overtime_leavers_top,avg_overtime_stayers_top,overtime_gap,avg_engagement_leavers_top,likely_driver,risk_score,risk_label
Marketing,Growth,55.0,8.0,14.5,10.0,4.0,40.0,69770.0,72811.0,73742.0,931.0,3.0,2.5,0.5,2.75,low engagement score prior to exit,8.2,CRITICAL
Engineering,Data Eng,49.0,7.0,14.3,8.0,2.0,25.0,105140.0,108814.0,106336.0,-2478.0,4.4,7.2,-2.8,3.5,no dominant single factor identified,5.0,HIGH
Engineering,Product Eng,38.0,4.0,10.5,9.0,2.0,22.2,104297.0,115129.0,115313.0,184.0,32.9,3.6,29.3,4.6,elevated overtime before exit,4.6,HIGH
Sales,Enterprise,40.0,5.0,12.5,5.0,1.0,20.0,58267.0,67348.0,62970.0,-4378.0,0.7,1.9,-1.2,3.2,no dominant single factor identified,4.0,HIGH
Sales,Mid-Market,43.0,4.0,9.3,7.0,1.0,14.3,55513.0,60420.0,59355.0,-1065.0,6.5,4.9,1.6,3.3,no dominant single factor identified,2.9,MEDIUM
Engineering,Platform,33.0,2.0,6.1,10.0,1.0,10.0,108234.0,111909.0,110897.0,-1012.0,5.9,2.2,3.7,3.2,elevated overtime before exit,2.0,LOW
Support,Tier 1,58.0,4.0,6.9,13.0,1.0,7.7,52536.0,51331.0,54997.0,3666.0,11.8,5.1,6.7,1.1,"compensation gap (~$3,666 below staying top performers); elevated overtime before exit; low engagement score prior to exit",1.7,LOW
Support,Tier 2,62.0,3.0,4.8,14.0,1.0,7.1,51589.0,50459.0,54239.0,3780.0,0.4,4.4,-4.0,2.6,"compensation gap (~$3,780 below staying top performers); low engagement score prior to exit",1.5,LOW
Finance,FP&A,64.0,8.0,12.5,17.0,1.0,5.9,79618.0,79462.0,81972.0,2510.0,1.5,2.6,-1.1,3.7,"compensation gap (~$2,510 below staying top performers)",1.2,LOW
Finance,Accounting,56.0,3.0,5.4,11.0,0.0,0.0,78694.0,,84134.0,,,3.9,,,no dominant single factor identified,0.0,LOW
Marketing,Brand,65.0,6.0,9.2,10.0,0.0,0.0,70441.0,,75067.0,,,2.2,,,no dominant single factor identified,0.0,LOW
Sales,SMB,37.0,4.0,10.8,9.0,0.0,0.0,57346.0,,59037.0,,,3.6,,,no dominant single factor identified,0.0,LOW
