department,team,headcount,attritions,attrition_rate,top_performers,top_performer_attritions,top_performer_attrition_rate,avg_compensation,avg_compensation_leavers_top,avg_compensation_stayers_top,comp_gap,avg_overtime_leavers_top,avg_overtime_stayers_top,overtime_gap,avg_engagement_leavers_top,likely_driver,risk_score,risk_label
Engineering,Data Eng,88.0,12.0,13.6,25.0,7.0,28.0,105244.0,115292.0,112331.0,-2961.0,20.4,4.4,16.0,3.01,elevated overtime before exit,5.7,HIGH
Sales,Mid-Market,78.0,13.0,16.7,12.0,3.0,25.0,56559.0,62056.0,63778.0,1722.0,5.5,4.0,1.5,2.97,low engagement score prior to exit,5.1,HIGH
Sales,SMB,79.0,9.0,11.4,13.0,3.0,23.1,56547.0,59130.0,59278.0,148.0,3.9,1.8,2.1,4.03,no dominant single factor identified,4.6,HIGH
Engineering,Platform,72.0,9.0,12.5,19.0,4.0,21.1,107585.0,105253.0,118547.0,13294.0,13.9,3.5,10.4,2.85,"compensation gap (~$13,294 below staying top performers); elevated overtime before exit; low engagement score prior to exit",4.6,HIGH
Engineering,Product Eng,80.0,10.0,12.5,20.0,4.0,20.0,103523.0,110202.0,109649.0,-553.0,8.1,3.1,5.0,3.58,elevated overtime before exit,4.1,HIGH
Sales,Enterprise,83.0,12.0,14.5,20.0,4.0,20.0,56165.0,58183.0,62547.0,4364.0,2.0,3.4,-1.4,3.77,"compensation gap (~$4,364 below staying top performers)",4.2,HIGH
Support,Tier 1,96.0,9.0,9.4,20.0,4.0,20.0,51279.0,56432.0,53699.0,-2733.0,8.4,3.6,4.8,3.55,elevated overtime before exit,4.1,HIGH
Marketing,Brand,133.0,16.0,12.0,29.0,4.0,13.8,70313.0,72040.0,74418.0,2378.0,4.4,1.8,2.6,3.1,no dominant single factor identified,2.8,MEDIUM
Finance,FP&A,134.0,9.0,6.7,29.0,3.0,10.3,78713.0,81024.0,82390.0,1366.0,3.4,2.9,0.5,2.8,low engagement score prior to exit,2.1,LOW
Support,Tier 2,144.0,17.0,11.8,29.0,3.0,10.3,52093.0,56066.0,54686.0,-1380.0,1.5,3.0,-1.5,2.67,low engagement score prior to exit,2.1,LOW
Finance,Accounting,106.0,11.0,10.4,19.0,1.0,5.3,78028.0,85006.0,84469.0,-537.0,1.3,3.7,-2.4,3.4,no dominant single factor identified,1.1,LOW
Marketing,Growth,107.0,6.0,5.6,14.0,0.0,0.0,69988.0,,75463.0,,,5.6,,,no dominant single factor identified,0.0,LOW
