department,team,headcount,attritions,attrition_rate,top_performers,top_performer_attritions,top_performer_attrition_rate,avg_compensation,avg_compensation_leavers_top,avg_compensation_stayers_top,comp_gap,avg_overtime_leavers_top,avg_overtime_stayers_top,overtime_gap,avg_engagement_leavers_top,likely_driver,risk_score,risk_label
Sales,SMB,77.0,15.0,19.5,12.0,9.0,75.0,56375.0,58286.0,61046.0,2760.0,3.6,8.1,-4.5,2.97,"compensation gap (~$2,760 below staying top performers); low engagement score prior to exit",8.9,CRITICAL
Engineering,Platform,85.0,12.0,14.1,14.0,7.0,50.0,104342.0,113890.0,112218.0,-1672.0,8.0,3.9,4.1,4.04,elevated overtime before exit,8.2,CRITICAL
Engineering,Product Eng,68.0,6.0,8.8,14.0,3.0,21.4,105708.0,109731.0,111793.0,2062.0,5.2,3.2,2.0,3.63,no dominant single factor identified,4.3,HIGH
Finance,Accounting,118.0,13.0,11.0,25.0,5.0,20.0,78230.0,83454.0,82242.0,-1212.0,1.4,2.7,-1.3,3.66,no dominant single factor identified,4.0,HIGH
Sales,Mid-Market,76.0,4.0,5.3,10.0,2.0,20.0,57284.0,60184.0,61204.0,1020.0,2.6,3.1,-0.5,2.6,low engagement score prior to exit,4.1,HIGH
Engineering,Data Eng,87.0,10.0,11.5,17.0,3.0,17.6,105733.0,119796.0,111846.0,-7950.0,10.7,3.8,6.9,4.53,elevated overtime before exit,3.6,MEDIUM
Support,Tier 2,104.0,11.0,10.6,17.0,3.0,17.6,50723.0,53583.0,54388.0,805.0,1.9,3.4,-1.5,3.53,no dominant single factor identified,3.5,MEDIUM
Support,Tier 1,136.0,18.0,13.2,31.0,5.0,16.1,51870.0,54096.0,54464.0,368.0,3.9,5.6,-1.7,3.06,no dominant single factor identified,3.2,MEDIUM
Marketing,Growth,112.0,16.0,14.3,15.0,2.0,13.3,70827.0,73051.0,77379.0,4328.0,5.6,2.9,2.7,3.25,"compensation gap (~$4,328 below staying top performers)",2.8,MEDIUM
Sales,Enterprise,87.0,4.0,4.6,13.0,1.0,7.7,55878.0,57203.0,57558.0,355.0,1.2,3.5,-2.3,2.9,low engagement score prior to exit,1.6,LOW
Marketing,Brand,128.0,5.0,3.9,28.0,2.0,7.1,70278.0,75330.0,75584.0,254.0,4.8,3.2,1.6,3.35,no dominant single factor identified,1.4,LOW
Finance,FP&A,122.0,14.0,11.5,24.0,1.0,4.2,78315.0,80626.0,83918.0,3292.0,1.1,5.8,-4.7,3.2,"compensation gap (~$3,292 below staying top performers)",0.9,LOW
