department,team,headcount,attritions,attrition_rate,top_performers,top_performer_attritions,top_performer_attrition_rate,avg_compensation,avg_compensation_leavers_top,avg_compensation_stayers_top,comp_gap,avg_overtime_leavers_top,avg_overtime_stayers_top,overtime_gap,avg_engagement_leavers_top,likely_driver,risk_score,risk_label
Engineering,Data Eng,26.0,3.0,11.5,3.0,1.0,33.3,99578.0,113812.0,104280.0,-9532.0,6.3,9.4,-3.1,2.3,low engagement score prior to exit,6.8,CRITICAL
Engineering,Accounting,28.0,2.0,7.1,4.0,1.0,25.0,78392.0,88352.0,75135.0,-13217.0,13.2,3.2,10.0,1.9,elevated overtime before exit; low engagement score prior to exit,5.2,HIGH
Engineering,Mid-Market,16.0,2.0,12.5,4.0,1.0,25.0,57312.0,60420.0,61645.0,1225.0,6.5,4.8,1.7,3.3,no dominant single factor identified,5.0,HIGH
Engineering,Tier 1,27.0,1.0,3.7,5.0,1.0,20.0,52225.0,55911.0,52634.0,-3277.0,0.2,11.8,-11.6,2.7,low engagement score prior to exit,4.1,HIGH
Engineering,FP&A,32.0,3.0,9.4,6.0,1.0,16.7,77778.0,74519.0,83982.0,9463.0,1.0,2.9,-1.9,2.7,"compensation gap (~$9,463 below staying top performers); low engagement score prior to exit",3.5,MEDIUM
Engineering,Brand,32.0,1.0,3.1,7.0,1.0,14.3,70860.0,70809.0,72527.0,1718.0,11.8,3.8,8.0,1.1,elevated overtime before exit; low engagement score prior to exit,3.0,MEDIUM
Engineering,Tier 2,33.0,2.0,6.1,11.0,1.0,9.1,51669.0,49584.0,54753.0,5169.0,13.6,1.6,12.0,2.7,"compensation gap (~$5,169 below staying top performers); elevated overtime before exit; low engagement score prior to exit",2.0,LOW
Engineering,Enterprise,20.0,3.0,15.0,1.0,0.0,0.0,57270.0,,57437.0,,,0.0,,,no dominant single factor identified,0.0,LOW
Engineering,Growth,28.0,2.0,7.1,7.0,0.0,0.0,71066.0,,74532.0,,,2.8,,,no dominant single factor identified,0.0,LOW
Engineering,Platform,20.0,2.0,10.0,4.0,0.0,0.0,108688.0,,118576.0,,,4.1,,,no dominant single factor identified,0.0,LOW
Engineering,Product Eng,14.0,1.0,7.1,4.0,0.0,0.0,108635.0,,112195.0,,,5.5,,,no dominant single factor identified,0.0,LOW
Engineering,SMB,24.0,3.0,12.5,4.0,0.0,0.0,57256.0,,59665.0,,,3.6,,,no dominant single factor identified,0.0,LOW
