employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10683,Support,Tier 1,Senior Support Specialist,2020-05-15,,False,4.6,,54746.0,2.7,3.2,9000
10735,Finance,FP&A,Finance Associate,2022-02-12,2024-10-09,True,3.4,,88036.0,2.2,3.6,9014
10326,Engineering,Platform,Engineering Associate,2018-04-14,,False,1.3,,94825.0,2.7,25.7,9032
10731,Finance,FP&A,Senior Finance Specialist,2019-01-11,,False,3.7,,71998.0,4.5,0.4,9014
11033,Marketing,Brand,Marketing Associate,2021-05-07,,False,2.7,,65336.0,4.1,1.8,9026
10246,Engineering,Data Eng,Senior Engineering Specialist,2018-11-10,2026-06-14,True,4.2,,103158.0,3.5,4.1,9008
10117,Sales,Enterprise,Sales Associate,2021-11-15,,False,2.4,,49481.0,2.5,1.2,9018
10379,Engineering,Product Eng,Engineering Associate,2021-09-18,,False,3.4,,105139.0,3.6,21.3,9019
10237,Sales,Enterprise,Sales Associate,2018-05-21,2020-11-11,True,2.3,2021-02-01,50225.0,3.2,0.2,9018
10413,Engineering,Platform,Senior Engineering Specialist,2020-10-02,,False,4.7,2024-04-04,107306.0,2.5,5.0,9032
10495,Support,Tier 2,Senior Support Specialist,2020-08-17,,False,4.2,2026-01-04,56034.0,3.4,0.5,9038
10997,Marketing,Brand,Marketing Associate,2024-12-23,,False,2.0,,71059.0,3.4,6.3,9026
11158,Marketing,Brand,Senior Marketing Specialist,2022-01-21,,False,5.0,,76393.0,5.0,7.4,9026
10705,Support,Tier 2,Support Associate,2018-09-19,,False,2.1,,47435.0,4.6,3.0,9038
11040,Marketing,Brand,Marketing Associate,2018-04-22,,False,1.0,,66855.0,2.7,6.7,9026
10296,Engineering,Data Eng,Senior Engineering Specialist,2020-12-30,,False,4.7,,105652.0,3.5,6.0,9008
10144,Sales,Enterprise,Sales Associate,2018-05-19,,False,3.1,,52868.0,2.2,3.9,9018
10161,Sales,SMB,Sales Associate,2020-09-27,,False,3.0,,61040.0,1.0,1.8,9037
10704,Support,Tier 2,Support Associate,2018-03-12,,False,3.1,,54715.0,2.5,3.5,9038
11176,Marketing,Growth,Marketing Associate,2018-05-09,,False,3.4,,73157.0,3.7,2.0,9021
10402,Engineering,Product Eng,Engineering Associate,2024-08-28,,False,3.6,,107656.0,3.5,1.0,9019
10669,Support,Tier 1,Senior Support Specialist,2021-05-02,,False,3.7,,48371.0,3.1,2.6,9000
10351,Engineering,Product Eng,Engineering Associate,2021-02-15,2023-06-20,True,3.6,,105763.0,4.2,3.8,9019
11096,Marketing,Brand,Marketing Associate,2019-11-12,,False,3.5,2024-05-31,72169.0,3.7,0.1,9026
10612,Support,Tier 2,Support Associate,2020-11-23,,False,3.2,,54233.0,2.4,2.8,9038
10155,Sales,Enterprise,Sales Associate,2023-05-03,,False,2.0,,53464.0,4.4,4.9,9018
10344,Engineering,Data Eng,Engineering Associate,2024-11-21,,False,3.0,,105040.0,5.0,21.9,9008
10781,Finance,Accounting,Finance Associate,2022-04-28,,False,3.5,2025-08-19,79272.0,4.4,0.3,9003
10998,Marketing,Brand,Senior Marketing Specialist,2021-07-20,,False,4.0,,66653.0,1.4,0.6,9026
10872,Finance,FP&A,Finance Associate,2024-05-01,,False,2.0,2026-06-24,69759.0,4.6,0.4,9014
10301,Engineering,Product Eng,Engineering Associate,2024-10-26,,False,3.7,2025-06-16,99998.0,2.8,5.3,9019
10894,Finance,Accounting,Finance Associate,2025-03-14,,False,1.9,2026-06-05,58338.0,3.0,3.2,9003
10940,Finance,FP&A,Senior Finance Specialist,2022-12-12,,False,4.5,,79413.0,1.9,0.4,9014
10226,Sales,Enterprise,Sales Associate,2018-08-09,,False,2.7,,51285.0,3.9,1.2,9018
10173,Sales,SMB,Senior Sales Specialist,2018-09-18,,False,3.9,,49658.0,3.1,1.4,9037
10408,Engineering,Data Eng,Senior Engineering Specialist,2020-09-12,,False,4.3,,107846.0,1.6,5.7,9008
10482,Support,Tier 2,Support Associate,2022-09-19,,False,2.6,2023-07-15,56619.0,4.5,7.4,9038
10352,Engineering,Product Eng,Engineering Associate,2021-05-26,,False,2.5,,102190.0,2.7,0.3,9019
10955,Finance,Accounting,Finance Associate,2019-07-29,,False,2.6,2021-02-03,75576.0,4.1,2.2,9003
10502,Support,Tier 2,Support Associate,2025-03-25,,False,2.7,2025-11-14,48645.0,3.5,2.0,9038
10064,Sales,Mid-Market,Sales Associate,2019-02-24,,False,3.2,,54934.0,3.4,0.8,9009
10961,Marketing,Brand,Marketing Associate,2018-05-08,,False,3.3,,80338.0,3.1,5.7,9026
10293,Engineering,Data Eng,Engineering Associate,2019-10-20,,False,2.5,2024-11-08,94231.0,2.6,1.9,9008
10089,Sales,Enterprise,Senior Sales Specialist,2020-12-08,,False,4.3,2023-09-03,64574.0,3.0,1.7,9018
10658,Support,Tier 2,Support Associate,2020-08-07,,False,2.7,2021-06-10,48988.0,3.2,7.5,9038
10339,Engineering,Data Eng,Engineering Associate,2024-05-22,2026-01-25,True,1.4,,98450.0,4.8,0.6,9008
10916,Finance,FP&A,Finance Associate,2020-09-07,,False,3.1,,76815.0,4.4,2.8,9014
10416,Engineering,Data Eng,Engineering Associate,2021-07-19,,False,2.8,,107967.0,3.2,2.3,9008
10842,Finance,FP&A,Finance Associate,2025-04-16,,False,1.7,,77935.0,4.1,0.8,9014
10833,Finance,FP&A,Senior Finance Specialist,2019-07-21,,False,4.0,,94536.0,5.0,1.3,9014
10215,Sales,Mid-Market,Sales Associate,2019-01-22,2025-06-25,True,3.5,,58351.0,2.0,1.8,9009
10899,Finance,FP&A,Finance Associate,2022-11-24,,False,2.1,,68735.0,3.9,1.4,9014
10668,Support,Tier 2,Senior Support Specialist,2024-08-19,,False,4.6,,50641.0,3.0,4.6,9038
10404,Engineering,Platform,Engineering Associate,2023-11-01,,False,3.1,,114194.0,3.5,0.7,9032
10983,Marketing,Brand,Marketing Associate,2025-01-27,,False,3.0,2026-09-01,63153.0,2.8,3.4,9026
11119,Marketing,Brand,Marketing Associate,2019-03-18,,False,3.0,,65189.0,4.6,0.0,9026
10513,Support,Tier 2,Senior Support Specialist,2020-11-28,,False,3.9,2024-03-05,51217.0,4.2,2.7,9038
10771,Finance,FP&A,Senior Finance Specialist,2025-04-25,,False,5.0,,81999.0,5.0,12.2,9014
11023,Marketing,Brand,Senior Marketing Specialist,2020-01-20,2024-06-30,True,3.7,,70637.0,3.2,0.9,9026
10939,Finance,FP&A,Finance Associate,2020-02-25,,False,1.2,,68501.0,3.5,1.1,9014
10018,Sales,Mid-Market,Sales Associate,2021-04-15,,False,2.7,,50423.0,4.8,1.6,9009
10714,Support,Tier 2,Senior Support Specialist,2018-03-21,2022-12-28,True,5.0,,54586.0,3.7,3.8,9038
10953,Finance,FP&A,Senior Finance Specialist,2019-11-09,,False,3.8,2021-06-21,83106.0,1.5,2.9,9014
10561,Support,Tier 2,Senior Support Specialist,2022-01-26,2026-02-19,True,4.4,,57717.0,1.4,0.4,9038
10776,Finance,FP&A,Finance Associate,2018-10-07,,False,3.3,2024-12-14,86509.0,4.7,3.1,9014
10657,Support,Tier 2,Support Associate,2022-10-25,,False,2.5,2023-05-17,49700.0,3.4,0.5,9038
10108,Sales,SMB,Sales Associate,2024-03-22,,False,2.8,,65333.0,2.9,4.8,9037
10836,Finance,FP&A,Finance Associate,2022-10-23,,False,3.5,,87054.0,3.5,8.5,9014
10649,Support,Tier 2,Senior Support Specialist,2018-03-15,,False,4.2,2025-06-01,60317.0,2.7,0.1,9038
10841,Finance,FP&A,Finance Associate,2021-05-04,,False,1.7,2023-02-01,65256.0,3.8,0.1,9014
10921,Finance,FP&A,Finance Associate,2018-02-09,,False,2.7,2023-01-24,79471.0,1.8,1.7,9014
10519,Support,Tier 2,Senior Support Specialist,2018-05-19,,False,4.4,,57088.0,5.0,16.0,9038
10632,Support,Tier 2,Support Associate,2023-06-11,,False,1.6,2025-10-06,47590.0,3.0,1.1,9038
10003,Sales,SMB,Sales Associate,2020-05-20,,False,3.1,,45419.0,3.4,6.6,9037
