employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10702,Support,Tier 2,Support Associate,2021-07-07,,False,3.2,,47991.0,Unknown,4.5,9038
10014,Sales,Mid-Market,Sales Associate,2021-01-18,,False,3.5,2025-01-01,61326.0,5.0,1.8,9009
11135,Marketing,Growth,Marketing Associate,2021-09-30,,False,2.4,2022-12-21,68616.0,4.3,1.1,9021
11166,Marketing,Growth,Marketing Associate,2018-06-18,,False,2.7,,62836.0,4.7,1.2,9021
10046,Sales,Enterprise,Senior Sales Specialist,2022-01-20,,False,4.7,,56928.0,3.5,0.3,9018
10644,Support,Tier 2,Support Associate,2020-03-31,2024-07-17,True,2.4,,52808.0,3.1,4.8,9038
11178,Marketing,Brand,Marketing Associate,2022-01-10,,False,1.6,,68680.0,3.9,2.0,9026
11085,Marketing,Brand,Marketing Associate,2023-02-06,,False,2.9,2024-07-31,59709.0,4.1,4.6,9026
10710,Support,Tier 2,Support Associate,2019-08-04,,False,1.9,,46813.0,3.3,0.1,9038
10759,Finance,FP&A,Senior Finance Specialist,2023-09-12,,False,4.3,2026-01-15,74643.0,4.1,1.0,9014
10588,Support,Tier 1,Support Associate,2020-01-21,,False,2.1,,47477.0,3.7,0.0,9000
10711,Support,Tier 1,Support Associate,2021-04-17,,False,3.3,,59380.0,4.8,5.6,9000
11069,Marketing,Growth,Senior Marketing Specialist,2023-09-29,,False,3.9,,67691.0,4.2,5.7,9021
10043,Sales,SMB,Sales Associate,2019-09-23,,False,3.2,2022-12-04,55493.0,2.0,6.7,9037
10432,Engineering,Product Eng,Engineering Associate,2019-01-09,,False,2.5,2026-03-13,110381.0,1.0,0.4,9019
10363,Engineering,Platform,Engineering Associate,2021-10-01,,False,3.3,2024-03-05,97173.0,2.9,22.3,9032
10246,Engineering,Product Eng,Engineering Associate,2023-04-12,,False,3.2,,112255.0,Unknown,3.6,9019
10453,Engineering,Data Eng,Senior Engineering Specialist,2023-02-07,,False,4.1,,101065.0,2.2,1.1,9008
10210,Sales,Enterprise,Sales Associate,2019-11-24,,False,3.0,,59791.0,2.0,1.7,9018
11038,Marketing,Brand,Senior Marketing Specialist,2022-02-12,,False,4.1,,80038.0,3.7,4.1,9026
10320,Engineering,Data Eng,Senior Engineering Specialist,2021-04-20,,False,4.0,2022-05-06,113059.0,3.1,10.1,9008
10729,Finance,FP&A,Senior Finance Specialist,2023-04-06,,False,4.2,2025-10-09,77294.0,4.9,1.1,9014
10151,Sales,Mid-Market,Sales Associate,2019-06-29,,False,3.3,2024-01-11,55497.0,3.4,2.2,9009
11067,Marketing,Growth,Senior Marketing Specialist,2022-04-16,,False,4.0,,84250.0,2.8,3.2,9021
10264,Engineering,Data Eng,Engineering Associate,2019-02-27,,False,3.5,2025-09-01,103994.0,1.6,71.3,9008
10205,Sales,Enterprise,Senior Sales Specialist,2021-06-16,,False,4.3,,57654.0,3.0,1.0,9018
10750,Finance,FP&A,Finance Associate,2020-07-31,,False,2.2,,67188.0,3.3,0.0,9014
