employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10702,Support,Tier 2,Support Associate,2021-07-07,,False,3.2,,47991.0,Unknown,4.5,9038,False,4.98,False
10014,Sales,Mid-Market,Sales Associate,2021-01-18,,False,3.5,2025-01-01,61326.0,5.0,1.8,9009,False,5.45,False
11135,Marketing,Growth,Marketing Associate,2021-09-30,,False,2.4,2022-12-21,68616.0,4.3,1.1,9021,False,4.75,False
11166,Marketing,Growth,Marketing Associate,2018-06-18,,False,2.7,,62836.0,4.7,1.2,9021,False,8.03,False
10046,Sales,Enterprise,Senior Sales Specialist,2022-01-20,,False,4.7,,56928.0,3.5,0.3,9018,True,4.44,False
10644,Support,Tier 2,Support Associate,2020-03-31,2024-07-17,True,2.4,,52808.0,3.1,4.8,9038,False,4.3,False
11178,Marketing,Brand,Marketing Associate,2022-01-10,,False,1.6,,68680.0,3.9,2.0,9026,False,4.47,False
11085,Marketing,Brand,Marketing Associate,2023-02-06,,False,2.9,2024-07-31,59709.0,4.1,4.6,9026,False,3.39,False
10710,Support,Tier 2,Support Associate,2019-08-04,,False,1.9,,46813.0,3.3,0.1,9038,False,6.9,False
10759,Finance,FP&A,Senior Finance Specialist,2023-09-12,,False,4.3,2026-01-15,74643.0,4.1,1.0,9014,True,2.8,False
10588,Support,Tier 1,Support Associate,2020-01-21,,False,2.1,,47477.0,3.7,0.0,9000,False,6.44,False
10711,Support,Tier 1,Support Associate,2021-04-17,,False,3.3,,59380.0,4.8,5.6,9000,False,5.2,False
11069,Marketing,Growth,Senior Marketing Specialist,2023-09-29,,False,3.9,,67691.0,4.2,5.7,9021,False,2.75,False
10043,Sales,SMB,Sales Associate,2019-09-23,,False,3.2,2022-12-04,55493.0,2.0,6.7,9037,False,6.77,False
10432,Engineering,Product Eng,Engineering Associate,2019-01-09,,False,2.5,2026-03-13,110381.0,1.0,0.4,9019,False,7.47,False
10363,Engineering,Platform,Engineering Associate,2021-10-01,,False,3.3,2024-03-05,97173.0,2.9,22.3,9032,False,4.74,True
10246,Engineering,Product Eng,Engineering Associate,2023-04-12,,False,3.2,,112255.0,Unknown,3.6,9019,False,3.22,False
10453,Engineering,Data Eng,Senior Engineering Specialist,2023-02-07,,False,4.1,,101065.0,2.2,1.1,9008,True,3.39,False
10210,Sales,Enterprise,Sales Associate,2019-11-24,,False,3.0,,59791.0,2.0,1.7,9018,False,6.6,False
11038,Marketing,Brand,Senior Marketing Specialist,2022-02-12,,False,4.1,,80038.0,3.7,4.1,9026,True,4.38,False
10320,Engineering,Data Eng,Senior Engineering Specialist,2021-04-20,,False,4.0,2022-05-06,113059.0,3.1,10.1,9008,True,5.19,False
10729,Finance,FP&A,Senior Finance Specialist,2023-04-06,,False,4.2,2025-10-09,77294.0,4.9,1.1,9014,True,3.23,False
10151,Sales,Mid-Market,Sales Associate,2019-06-29,,False,3.3,2024-01-11,55497.0,3.4,2.2,9009,False,7.0,False
11067,Marketing,Growth,Senior Marketing Specialist,2022-04-16,,False,4.0,,84250.0,2.8,3.2,9021,True,4.21,False
10264,Engineering,Data Eng,Engineering Associate,2019-02-27,,False,3.5,2025-09-01,103994.0,1.6,71.3,9008,False,7.34,True
10205,Sales,Enterprise,Senior Sales Specialist,2021-06-16,,False,4.3,,57654.0,3.0,1.0,9018,True,5.04,False
10750,Finance,FP&A,Finance Associate,2020-07-31,,False,2.2,,67188.0,3.3,0.0,9014,False,5.91,False
10155,Sales,Enterprise,Sales Associate,2023-04-08,,False,2.5,2025-08-28,57262.0,5.0,0.7,9018,False,3.23,False
10928,Finance,Accounting,Senior Finance Specialist,2024-12-10,,False,4.5,,92391.0,3.7,1.9,9003,True,1.55,False
10749,Finance,FP&A,Senior Finance Specialist,2019-07-07,,False,4.1,,77504.0,1.9,3.5,9014,True,6.98,False
10686,Support,Tier 2,Support Associate,2019-09-20,,False,3.3,2022-07-20,51283.0,3.6,1.0,9038,False,6.78,False
10250,Engineering,Platform,Engineering Associate,2024-01-04,2025-10-11,True,2.8,,102257.0,1.2,9.5,9032,False,1.77,False
10612,Support,Tier 2,Support Associate,2021-01-17,,False,3.2,2023-04-18,45908.0,3.9,2.4,9038,False,5.45,False
10648,Support,Tier 1,Support Associate,2020-09-25,,False,3.2,,47185.0,3.9,1.4,9000,False,5.76,False
10357,Engineering,Data Eng,Engineering Associate,2021-04-10,,False,2.8,,109545.0,4.2,2.2,9008,False,5.22,False
10178,Sales,Mid-Market,Sales Associate,2018-03-21,,False,3.3,,55398.0,1.9,2.8,9009,False,8.28,False
10672,Support,Tier 2,Support Associate,2021-01-17,,False,1.0,2023-10-15,40233.0,2.4,2.4,9038,False,5.45,False
10854,Finance,FP&A,Finance Associate,2024-05-01,,False,2.3,2025-05-05,79675.0,3.6,0.4,9014,False,2.16,False
10583,Support,Tier 2,Support Associate,2021-06-05,,False,3.5,2023-08-30,56937.0,4.6,0.6,9038,False,5.07,False
10765,Finance,FP&A,Senior Finance Specialist,2021-12-26,,False,4.1,,73549.0,2.3,0.3,9014,True,4.51,False
10310,Engineering,Product Eng,Engineering Associate,2022-12-26,,False,2.8,,102264.0,3.6,18.7,9019,False,3.51,True
10622,Support,Tier 1,Support Associate,2023-08-04,,False,3.0,2025-03-30,54283.0,2.9,0.9,9000,False,2.9,False
10557,Support,Tier 1,Support Associate,2021-01-19,,False,3.0,,54392.0,3.7,0.1,9000,False,5.44,False
11029,Marketing,Growth,Marketing Associate,2019-10-01,,False,2.1,,68036.0,5.0,3.4,9021,False,6.75,False
10130,Sales,SMB,Senior Sales Specialist,2023-07-01,,False,4.1,2025-05-16,51869.0,3.2,2.5,9037,True,3.0,False
10279,Engineering,Product Eng,Senior Engineering Specialist,2018-10-16,,False,3.8,2020-07-09,93924.0,4.3,9.0,9019,False,7.7,False
10632,Support,Tier 1,Support Associate,2023-06-17,,False,1.4,,45515.0,2.0,3.7,9000,False,3.04,False
11190,Marketing,Brand,Marketing Associate,2022-01-11,,False,2.9,2025-03-23,72957.0,3.1,3.4,9026,False,4.47,False
10620,Support,Tier 1,Support Associate,2018-05-23,,False,3.6,,53503.0,3.4,0.0,9000,False,8.1,False
10135,Sales,Enterprise,Sales Associate,2020-11-28,,False,3.2,,Unknown,Unknown,4.4,9018,False,5.59,False
10953,Finance,Accounting,Senior Finance Specialist,2019-05-11,2024-06-11,True,3.7,,80902.0,1.1,12.2,9003,False,5.09,False
10526,Support,Tier 2,Support Associate,2022-01-29,,False,2.8,,47491.0,4.1,0.4,9038,False,4.42,False
10227,Sales,SMB,Sales Associate,2024-09-27,,False,3.2,,47860.0,Unknown,1.4,9037,False,1.75,False
10222,Sales,Enterprise,Senior Sales Specialist,2020-10-03,,False,3.8,,57040.0,3.0,3.1,9018,False,5.74,False
10087,Sales,Mid-Market,Sales Associate,2023-07-31,,False,2.9,,49262.0,3.2,0.6,9009,False,2.92,False
10718,Support,Tier 2,Senior Support Specialist,2019-03-13,2025-11-19,True,4.3,,50426.0,3.7,2.6,9038,True,6.69,False
10730,Finance,FP&A,Finance Associate,2023-03-07,,False,2.6,,69836.0,4.6,0.4,9014,False,3.32,False
10156,Sales,Mid-Market,Sales Associate,2022-04-07,,False,3.3,,68270.0,3.4,2.4,9009,False,4.23,False
11098,Marketing,Brand,Marketing Associate,2020-07-14,,False,2.9,,65311.0,3.2,1.0,9026,False,5.96,False
10389,Engineering,Data Eng,Engineering Associate,2024-09-09,2026-03-04,True,1.7,2025-06-08,95984.0,1.4,3.8,9008,False,1.48,False
10874,Finance,Accounting,Senior Finance Specialist,2023-07-19,,False,4.9,2025-05-22,101951.0,4.3,4.6,9003,True,2.95,False
10164,Sales,Mid-Market,Sales Associate,2020-08-04,,False,2.5,2022-02-01,54404.0,4.3,0.3,9009,False,5.9,False
10397,Engineering,Data Eng,Engineering Associate,2023-01-03,,False,3.1,2025-08-21,96412.0,5.0,10.9,9008,False,3.49,False
10261,Engineering,Product Eng,Engineering Associate,2023-11-10,,False,3.2,2024-11-25,96404.0,1.9,35.8,9019,False,2.64,True
10168,Sales,SMB,Sales Associate,2023-06-12,,False,2.4,2024-03-28,47178.0,Unknown,4.3,9037,False,3.05,False
10204,Sales,Mid-Market,Sales Associate,2019-02-18,,False,3.2,,49586.0,Unknown,0.0,9009,False,7.36,False
10586,Support,Tier 1,Senior Support Specialist,2024-02-06,,False,4.1,2025-09-11,49755.0,3.3,1.5,9000,True,2.4,False
10382,Engineering,Data Eng,Engineering Associate,2021-06-13,,False,3.4,,112302.0,5.0,5.6,9008,False,5.05,False
10139,Sales,Enterprise,Sales Associate,2022-06-09,,False,3.2,,Unknown,Unknown,0.3,9018,False,4.06,False
10308,Engineering,Product Eng,Senior Engineering Specialist,2024-03-18,2025-12-18,True,5.0,,119911.0,4.2,1.9,9019,True,1.75,False
10706,Support,Tier 1,Support Associate,2022-12-02,,False,2.5,,48727.0,2.4,1.1,9000,False,3.58,False
10283,Engineering,Platform,Engineering Associate,2020-02-27,,False,2.8,,105815.0,3.8,8.9,9032,False,6.34,False
10349,Engineering,Product Eng,Engineering Associate,2018-07-14,,False,3.2,2023-08-12,106850.0,Unknown,12.3,9019,False,7.96,False
11139,Marketing,Brand,Marketing Associate,2021-11-17,,False,2.1,2025-06-26,66963.0,3.1,3.5,9026,False,4.62,False
10353,Engineering,Product Eng,Engineering Associate,2018-12-20,,False,3.5,,105697.0,4.6,17.4,9019,False,7.53,True
10905,Finance,FP&A,Finance Associate,2018-09-27,,False,2.9,,73639.0,2.8,1.1,9014,False,7.76,False
10617,Support,Tier 1,Support Associate,2019-02-23,,False,3.2,,52284.0,2.8,1.8,9000,False,7.35,False
10738,Finance,Accounting,Finance Associate,2024-08-03,,False,2.1,,62461.0,1.5,3.2,9003,False,1.91,False
10253,Engineering,Data Eng,Engineering Associate,2022-12-04,,False,2.2,,90680.0,4.0,3.2,9008,False,3.57,False
10241,Engineering,Platform,Engineering Associate,2022-04-04,,False,3.7,2024-07-17,112302.0,2.4,1.6,9032,False,4.24,False
10179,Sales,SMB,Senior Sales Specialist,2019-07-23,,False,4.3,,57401.0,5.0,3.8,9037,True,6.94,False
11121,Marketing,Brand,Senior Marketing Specialist,2019-06-15,,False,3.9,,73385.0,2.3,0.9,9026,False,7.04,False
10395,Engineering,Product Eng,Engineering Associate,2019-11-17,2022-06-01,True,2.9,,114271.0,5.0,12.0,9019,False,2.54,False
10828,Finance,FP&A,Finance Associate,2023-02-27,,False,3.5,,77698.0,3.7,0.4,9014,False,3.34,False
10098,Sales,Enterprise,Senior Sales Specialist,2021-11-18,2025-03-05,True,4.2,2025-10-04,61211.0,3.6,2.7,9018,True,3.29,False
10137,Sales,SMB,Sales Associate,2024-04-26,,False,3.3,,59186.0,4.1,0.0,9037,False,2.18,False
11087,Marketing,Growth,Marketing Associate,2022-01-26,,False,2.0,,65183.0,3.3,5.6,9021,False,4.42,False
10783,Finance,Accounting,Finance Associate,2022-12-05,,False,2.1,2023-11-05,80882.0,1.7,1.5,9003,False,3.57,False
10965,Marketing,Growth,Marketing Associate,2023-12-26,,False,3.4,,65772.0,4.3,4.9,9021,False,2.51,False
10611,Support,Tier 2,Support Associate,2019-02-09,,False,3.2,,Unknown,Unknown,4.7,9038,False,7.39,False
10677,Support,Tier 2,Senior Support Specialist,2023-07-10,,False,3.9,,58704.0,3.8,0.0,9038,False,2.97,False
10317,Engineering,Platform,Engineering Associate,2024-02-05,2026-03-19,True,3.6,2026-03-18,91904.0,2.7,3.9,9032,False,2.12,False
10319,Engineering,Platform,Engineering Associate,2020-08-16,,False,2.4,,106714.0,4.5,6.5,9032,False,5.87,False
10530,Support,Tier 2,Senior Support Specialist,2018-10-22,,False,4.6,,56539.0,3.8,0.7,9038,True,7.69,False
10211,Sales,Mid-Market,Sales Associate,2018-05-10,,False,3.2,,54944.0,Unknown,1.0,9009,False,8.14,False
11158,Marketing,Growth,Marketing Associate,2020-09-25,,False,2.6,,73537.0,3.3,2.1,9021,False,5.76,False
10995,Marketing,Growth,Marketing Associate,2021-01-08,2024-02-23,True,3.0,,68351.0,2.8,2.1,9021,False,3.12,False
10006,Sales,Mid-Market,Senior Sales Specialist,2023-11-29,,False,3.9,2026-03-19,53784.0,4.6,2.4,9009,False,2.58,False
10458,Engineering,Platform,Engineering Associate,2022-09-29,,False,2.7,,115508.0,2.9,0.1,9032,False,3.75,False
11091,Marketing,Brand,Marketing Associate,2024-12-13,,False,2.8,2025-08-20,62406.0,5.0,4.4,9026,False,1.54,False
10997,Marketing,Brand,Senior Marketing Specialist,2020-05-21,,False,3.8,,71800.0,2.4,2.0,9026,False,6.11,False
10599,Support,Tier 1,Support Associate,2022-03-01,2025-10-28,True,3.1,,53703.0,3.5,5.4,9000,False,3.66,False
10909,Finance,Accounting,Finance Associate,2024-09-13,,False,2.4,2026-02-19,90172.0,3.6,1.4,9003,False,1.79,False
10450,Engineering,Product Eng,Senior Engineering Specialist,2020-10-10,,False,5.0,2024-03-06,111114.0,5.0,6.7,9019,True,5.72,False
10492,Support,Tier 1,Support Associate,2018-02-22,,False,3.1,,52171.0,2.8,0.3,9000,False,8.35,False
10086,Sales,Mid-Market,Sales Associate,2019-12-02,,False,3.1,,52253.0,2.1,1.7,9009,False,6.58,False
10172,Sales,Enterprise,Sales Associate,2020-12-08,,False,3.1,,54140.0,4.5,0.9,9018,False,5.56,False
10422,Engineering,Platform,Engineering Associate,2019-06-08,,False,2.1,2023-09-17,101885.0,3.1,11.5,9032,False,7.06,False
10073,Sales,Mid-Market,Sales Associate,2018-07-13,,False,2.1,2025-04-07,47619.0,2.7,1.2,9009,False,7.96,False
10760,Finance,FP&A,Finance Associate,2025-04-21,,False,2.9,,81177.0,5.0,0.9,9014,False,1.19,False
11055,Marketing,Growth,Marketing Associate,2023-12-31,,False,2.8,2024-11-23,69529.0,3.2,1.1,9021,False,2.5,False
11106,Marketing,Brand,Marketing Associate,2022-08-22,2023-11-01,True,3.4,,74054.0,4.3,14.2,9026,False,1.19,False
11129,Marketing,Brand,Marketing Associate,2022-05-30,,False,1.7,,64519.0,4.8,0.4,9026,False,4.08,False
10812,Finance,FP&A,Finance Associate,2020-03-04,,False,2.2,2023-11-03,77710.0,5.0,0.5,9014,False,6.32,False
11095,Marketing,Brand,Senior Marketing Specialist,2018-12-08,,False,3.8,,78668.0,5.0,9.8,9026,False,7.56,False
10726,Finance,Accounting,Finance Associate,2023-02-25,,False,2.7,2024-01-15,76519.0,3.6,0.4,9003,False,3.34,False
10929,Finance,FP&A,Senior Finance Specialist,2022-12-02,2026-04-22,True,4.0,2025-05-30,80698.0,1.6,4.2,9014,True,3.39,False
10725,Finance,Accounting,Finance Associate,2021-07-07,2021-07-09,True,2.9,,79179.0,3.3,1.0,9003,False,0.01,False
10524,Support,Tier 2,Senior Support Specialist,2025-02-06,,False,5.0,,52583.0,4.1,0.0,9038,True,1.39,False
10019,Sales,Mid-Market,Senior Sales Specialist,2022-05-06,,False,4.2,,54034.0,4.1,2.0,9009,True,4.15,False
11128,Marketing,Growth,Senior Marketing Specialist,2023-11-05,,False,4.0,2025-09-05,63748.0,4.0,9.9,9021,True,2.65,False
