employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10662,Support,Tier 2,Senior Support Specialist,2020-01-14,,False,4.0,,54643.0,4.0,18.2,9018,True,6.46,True
10221,Sales,Enterprise,Sales Associate,2024-05-26,,False,3.2,2025-11-26,59227.0,4.6,2.4,9008,False,2.09,False
10156,Sales,SMB,Senior Sales Specialist,2021-02-04,,False,3.9,,57137.0,2.4,4.3,9022,False,5.4,False
10678,Support,Tier 1,Support Associate,2018-05-11,,False,3.2,,45188.0,Unknown,3.9,9002,False,8.14,False
10912,Finance,Accounting,Finance Associate,2024-10-12,,False,3.3,,85395.0,1.3,1.1,9010,False,1.71,False
10169,Sales,Mid-Market,Sales Associate,2019-01-25,,False,3.0,2021-04-09,48972.0,3.4,0.4,9028,False,7.43,False
11088,Marketing,Growth,Marketing Associate,2022-02-23,,False,1.0,,65722.0,5.0,6.0,9025,False,4.35,False
10114,Sales,SMB,Sales Associate,2022-07-31,,False,1.2,,57498.0,2.0,3.8,9022,False,3.92,False
10606,Support,Tier 1,Support Associate,2022-09-10,,False,3.1,2023-09-25,53480.0,3.8,11.9,9002,False,3.8,False
10537,Support,Tier 2,Senior Support Specialist,2021-10-28,2023-03-28,True,3.9,,49153.0,3.1,1.0,9018,False,1.41,False
10831,Finance,Accounting,Finance Associate,2021-11-25,,False,1.9,2025-05-13,70678.0,3.9,2.8,9010,False,4.59,False
10382,Engineering,Product Eng,Senior Engineering Specialist,2021-11-28,2022-09-24,True,3.8,,120242.0,4.1,5.2,9014,False,0.82,False
10719,Support,Tier 2,Support Associate,2020-01-24,,False,3.5,2022-09-21,50973.0,1.7,2.2,9018,False,6.43,False
10595,Support,Tier 2,Support Associate,2020-05-16,,False,2.7,,49475.0,4.1,1.4,9018,False,6.12,False
10108,Sales,Enterprise,Sales Associate,2019-11-11,,False,3.7,,50584.0,Unknown,2.8,9008,False,6.63,False
10573,Support,Tier 2,Support Associate,2022-07-06,2023-06-22,True,1.9,,46694.0,3.8,0.1,9018,False,0.96,False
10901,Finance,FP&A,Finance Associate,2023-10-08,,False,3.6,,87417.0,1.9,3.8,9027,False,2.73,False
10362,Engineering,Data Eng,Engineering Associate,2024-04-04,,False,2.2,,106218.0,2.9,1.4,9013,False,2.24,False
10714,Support,Tier 1,Senior Support Specialist,2022-10-28,,False,4.0,2026-06-25,58124.0,5.0,0.4,9002,True,3.67,False
10623,Support,Tier 2,Support Associate,2024-07-31,,False,2.9,2026-02-22,44810.0,3.1,3.5,9018,False,1.91,False
10364,Engineering,Platform,Senior Engineering Specialist,2019-08-04,,False,3.9,,110108.0,2.6,9.5,9003,False,6.9,False
10729,Finance,Accounting,Finance Associate,2021-08-17,,False,2.8,,74900.0,4.8,0.7,9010,False,4.87,False
10680,Support,Tier 1,Senior Support Specialist,2022-01-18,,False,4.0,,50503.0,3.6,2.0,9002,True,4.45,False
10853,Finance,Accounting,Finance Associate,2024-10-12,,False,3.5,,81018.0,4.1,3.5,9010,False,1.71,False
10299,Engineering,Data Eng,Senior Engineering Specialist,2018-08-25,,False,4.3,2019-05-21,100703.0,4.1,4.1,9013,True,7.85,False
