employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id
10052,Sales,Enterprise,Senior Sales Specialist,2022-09-26,,False,3.2,,52135.0,3.3,5.6,9018
10523,Support,Tier 1,Support Associate,2019-09-22,,False,3.0,,56148.0,4.1,1.9,9000
10180,Sales,SMB,Sales Associate,2020-02-26,,False,2.6,2025-11-29,54195.0,2.5,2.8,9037
11173,Marketing,Brand,Marketing Associate,2020-06-16,,False,3.7,2023-08-26,83181.0,3.9,6.6,9026
10938,Finance,Accounting,Senior Finance Specialist,2024-09-14,,False,4.0,,87168.0,2.4,6.2,9003
11152,Marketing,Brand,Marketing Associate,2018-09-08,,False,3.0,2025-04-30,68383.0,3.0,6.6,9026
10206,Sales,Enterprise,Sales Associate,2022-06-23,,False,3.2,2024-08-17,54920.0,2.9,3.8,9018
11090,Marketing,Growth,Senior Marketing Specialist,2019-08-09,,False,3.9,2023-07-21,67954.0,2.2,3.1,9021
10657,Support,Tier 1,Support Associate,2024-09-05,,False,2.1,2025-04-08,45478.0,3.8,1.2,9000
11114,Marketing,Brand,Marketing Associate,2023-03-29,2024-01-17,True,3.1,2025-02-28,72711.0,2.6,11.2,9026
10736,Finance,FP&A,Finance Associate,2024-08-09,,False,3.4,2025-04-04,86914.0,1.0,2.2,9014
10064,Sales,Enterprise,Senior Sales Specialist,2020-12-14,,False,3.2,,63890.0,3.3,2.7,9018
10642,Support,Tier 2,Support Associate,2022-02-08,,False,3.0,2023-12-03,49341.0,2.8,0.6,9038
10762,Finance,FP&A,Finance Associate,2019-10-10,,False,3.5,,76594.0,3.9,1.3,9014
10928,Finance,FP&A,Finance Associate,2024-03-16,,False,2.6,2024-12-01,78052.0,4.3,2.8,9014
10455,Engineering,Product Eng,Engineering Associate,2021-03-03,2026-03-23,True,2.6,,104663.0,3.4,2.4,9019
10356,Engineering,Data Eng,Engineering Associate,2020-05-02,,False,2.3,2025-11-26,93210.0,3.6,22.3,9008
11073,Marketing,Growth,Senior Marketing Specialist,2019-12-05,,False,3.9,,71782.0,1.9,1.0,9021
10446,Engineering,Product Eng,Engineering Associate,2019-09-09,,False,2.9,,106246.0,2.1,1.5,9019
10351,Engineering,Product Eng,Engineering Associate,2022-06-11,,False,2.3,,109975.0,4.6,0.7,9019
10173,Sales,SMB,Sales Associate,2020-03-28,,False,3.0,,49952.0,4.7,2.6,9037
10514,Support,Tier 2,Support Associate,2018-05-13,,False,2.9,2021-01-13,56227.0,3.3,2.0,9038
10628,Support,Tier 2,Support Associate,2020-12-22,,False,3.3,,53033.0,4.1,7.2,9038
10791,Finance,Accounting,Senior Finance Specialist,2022-09-22,,False,4.4,,85089.0,2.8,3.5,9003
10373,Engineering,Data Eng,Engineering Associate,2025-01-16,,False,1.8,,90402.0,5.0,0.7,9008
10254,Engineering,Product Eng,Engineering Associate,2021-03-07,,False,2.9,,112858.0,3.2,3.0,9019
11038,Marketing,Brand,Marketing Associate,2022-11-17,,False,3.1,2025-08-16,60180.0,4.6,0.0,9026
10632,Support,Tier 2,Senior Support Specialist,2019-08-18,,False,5.0,2020-03-08,56766.0,2.5,3.8,9038
10453,Engineering,Product Eng,Engineering Associate,2022-11-12,,False,1.4,2025-09-28,100444.0,3.4,17.1,9019
10545,Support,Tier 2,Support Associate,2023-09-11,2025-11-08,True,3.2,,48920.0,3.3,4.9,9038
10526,Support,Tier 1,Support Associate,2023-03-07,,False,2.5,2025-12-24,47949.0,4.4,0.1,9000
10190,Sales,Mid-Market,Senior Sales Specialist,2018-05-07,2024-04-29,True,3.8,,62759.0,3.3,0.1,9009
10102,Sales,Mid-Market,Sales Associate,2025-04-05,,False,2.0,2025-10-22,53531.0,4.2,7.8,9009
10735,Finance,FP&A,Finance Associate,2019-03-09,2024-06-25,True,3.4,,76940.0,2.8,0.4,9014
10335,Engineering,Platform,Engineering Associate,2022-09-22,,False,2.3,,98479.0,3.3,4.1,9032
10997,Marketing,Brand,Marketing Associate,2020-01-06,,False,2.3,,74318.0,3.3,0.8,9026
10447,Engineering,Data Eng,Engineering Associate,2019-04-07,,False,3.5,2022-01-13,101140.0,2.4,1.9,9008
10171,Sales,Mid-Market,Senior Sales Specialist,2023-07-12,,False,3.8,2025-07-05,55271.0,1.5,1.5,9009
10633,Support,Tier 1,Senior Support Specialist,2020-07-18,,False,4.1,,51797.0,2.9,5.0,9000
10370,Engineering,Data Eng,Senior Engineering Specialist,2018-07-13,,False,3.9,2022-05-08,110053.0,5.0,6.2,9008
10286,Engineering,Product Eng,Engineering Associate,2023-05-07,,False,2.5,,114918.0,1.1,9.4,9019
11061,Marketing,Growth,Marketing Associate,2019-02-02,,False,2.9,,82595.0,5.0,0.7,9021
10573,Support,Tier 1,Senior Support Specialist,2022-06-27,,False,4.6,,53907.0,2.8,9.5,9000
10028,Sales,Enterprise,Sales Associate,2024-10-14,,False,3.4,,63516.0,3.6,3.8,9018
10427,Engineering,Data Eng,Engineering Associate,2025-02-14,,False,2.9,,111486.0,2.4,9.0,9008
11136,Marketing,Brand,Marketing Associate,2021-04-22,,False,3.4,,69253.0,5.0,4.2,9026
10279,Engineering,Data Eng,Senior Engineering Specialist,2021-05-08,,False,4.2,,111835.0,3.1,1.9,9008
11110,Marketing,Growth,Marketing Associate,2018-11-22,,False,3.3,,66096.0,2.9,1.8,9021
10666,Support,Tier 2,Senior Support Specialist,2020-09-13,,False,4.2,,56133.0,5.0,3.0,9038
10962,Marketing,Growth,Marketing Associate,2023-07-13,,False,3.5,,69217.0,2.1,0.6,9021
10651,Support,Tier 2,Support Associate,2019-06-07,,False,2.0,,46808.0,2.2,2.1,9038
10681,Support,Tier 2,Support Associate,2019-03-15,,False,3.2,,53501.0,4.0,2.9,9038
10499,Support,Tier 1,Support Associate,2019-06-24,,False,2.3,2025-05-03,50383.0,2.8,10.5,9000
10114,Sales,Mid-Market,Sales Associate,2021-07-10,,False,2.9,,58081.0,3.7,3.1,9009
10653,Support,Tier 2,Support Associate,2021-11-14,,False,3.6,2025-01-23,46783.0,1.8,2.6,9038
10674,Support,Tier 2,Support Associate,2021-07-12,,False,3.4,,52201.0,3.4,2.3,9038
11149,Marketing,Brand,Senior Marketing Specialist,2019-08-01,,False,3.8,2024-08-17,72925.0,2.4,3.2,9026
11188,Marketing,Brand,Marketing Associate,2018-05-06,,False,3.2,,66547.0,3.3,6.2,9026
10397,Engineering,Data Eng,Engineering Associate,2021-08-18,,False,3.1,,117798.0,4.2,0.5,9008
10510,Support,Tier 1,Support Associate,2021-09-03,,False,2.4,2025-03-23,52147.0,4.3,0.4,9000
10798,Finance,FP&A,Senior Finance Specialist,2022-12-10,,False,4.5,2024-09-17,79262.0,2.6,8.8,9014
10456,Engineering,Data Eng,Engineering Associate,2024-09-13,,False,2.7,2026-04-16,101035.0,3.2,7.2,9008
10987,Marketing,Brand,Marketing Associate,2021-01-17,,False,3.4,,56366.0,2.4,1.8,9026
10644,Support,Tier 2,Senior Support Specialist,2019-12-19,,False,3.9,,62906.0,3.7,2.1,9038
10661,Support,Tier 1,Support Associate,2018-09-17,,False,3.1,2022-11-21,57232.0,3.0,3.3,9000
10725,Finance,FP&A,Senior Finance Specialist,2020-01-12,,False,4.0,,79078.0,3.8,0.9,9014
10925,Finance,FP&A,Senior Finance Specialist,2025-06-02,,False,5.0,2026-06-17,89640.0,3.4,3.8,9014
10621,Support,Tier 2,Senior Support Specialist,2022-04-09,2026-01-26,True,4.6,2023-12-28,55603.0,3.3,1.2,9038
10221,Sales,Mid-Market,Sales Associate,2019-05-28,,False,3.6,,57179.0,3.3,1.9,9009
10409,Engineering,Platform,Senior Engineering Specialist,2018-04-03,,False,4.6,,119161.0,4.0,3.4,9032
10922,Finance,Accounting,Senior Finance Specialist,2022-02-06,,False,4.4,2023-03-28,89364.0,4.0,2.5,9003
10285,Engineering,Platform,Engineering Associate,2020-12-27,,False,2.9,2024-09-06,102264.0,3.6,0.6,9032
