employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10052,Sales,Enterprise,Senior Sales Specialist,2022-09-26,,False,3.2,,52135.0,3.3,5.6,9018,False,3.76,False
10523,Support,Tier 1,Support Associate,2019-09-22,,False,3.0,,56148.0,4.1,1.9,9000,False,6.77,False
10180,Sales,SMB,Sales Associate,2020-02-26,,False,2.6,2025-11-29,54195.0,2.5,2.8,9037,False,6.34,False
11173,Marketing,Brand,Marketing Associate,2020-06-16,,False,3.7,2023-08-26,83181.0,3.9,6.6,9026,False,6.04,False
10938,Finance,Accounting,Senior Finance Specialist,2024-09-14,,False,4.0,,87168.0,2.4,6.2,9003,True,1.79,False
11152,Marketing,Brand,Marketing Associate,2018-09-08,,False,3.0,2025-04-30,68383.0,3.0,6.6,9026,False,7.81,False
10206,Sales,Enterprise,Sales Associate,2022-06-23,,False,3.2,2024-08-17,54920.0,2.9,3.8,9018,False,4.02,False
11090,Marketing,Growth,Senior Marketing Specialist,2019-08-09,,False,3.9,2023-07-21,67954.0,2.2,3.1,9021,False,6.89,False
10657,Support,Tier 1,Support Associate,2024-09-05,,False,2.1,2025-04-08,45478.0,3.8,1.2,9000,False,1.82,False
11114,Marketing,Brand,Marketing Associate,2023-03-29,2024-01-17,True,3.1,2025-02-28,72711.0,2.6,11.2,9026,False,0.8,False
10736,Finance,FP&A,Finance Associate,2024-08-09,,False,3.4,2025-04-04,86914.0,1.0,2.2,9014,False,1.89,False
10064,Sales,Enterprise,Senior Sales Specialist,2020-12-14,,False,3.2,,63890.0,3.3,2.7,9018,False,5.54,False
10642,Support,Tier 2,Support Associate,2022-02-08,,False,3.0,2023-12-03,49341.0,2.8,0.6,9038,False,4.39,False
10762,Finance,FP&A,Finance Associate,2019-10-10,,False,3.5,,76594.0,3.9,1.3,9014,False,6.72,False
10928,Finance,FP&A,Finance Associate,2024-03-16,,False,2.6,2024-12-01,78052.0,4.3,2.8,9014,False,2.29,False
10455,Engineering,Product Eng,Engineering Associate,2021-03-03,2026-03-23,True,2.6,,104663.0,3.4,2.4,9019,False,5.05,False
10356,Engineering,Data Eng,Engineering Associate,2020-05-02,,False,2.3,2025-11-26,93210.0,3.6,22.3,9008,False,6.16,True
