employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10702,Support,Tier 2,Support Associate,2021-07-07,,False,3.2,,47991.0,3.4,4.5,9038,False,4.98,False
11135,Marketing,Growth,Marketing Associate,2021-09-30,,False,2.4,2022-12-21,68616.0,4.3,1.1,9021,False,4.75,False
11166,Marketing,Growth,Marketing Associate,2018-06-18,,False,2.7,,62836.0,4.7,1.2,9021,False,8.03,False
10644,Support,Tier 2,Support Associate,2020-03-31,2024-07-17,True,2.4,,52808.0,3.1,4.8,9038,False,4.3,False
11178,Marketing,Brand,Marketing Associate,2022-01-10,,False,1.6,,68680.0,3.9,2.0,9026,False,4.47,False
11085,Marketing,Brand,Marketing Associate,2023-02-06,,False,2.9,2024-07-31,59709.0,4.1,4.6,9026,False,3.39,False
10710,Support,Tier 2,Support Associate,2019-08-04,,False,1.9,,46813.0,3.3,0.1,9038,False,6.9,False
10759,Finance,FP&A,Senior Finance Specialist,2023-09-12,,False,4.3,2026-01-15,74643.0,4.1,1.0,9014,True,2.8,False
10588,Support,Tier 1,Support Associate,2020-01-21,,False,2.1,,47477.0,3.7,0.0,9000,False,6.44,False
10711,Support,Tier 1,Support Associate,2021-04-17,,False,3.3,,59380.0,4.8,5.6,9000,False,5.2,False
11069,Marketing,Growth,Senior Marketing Specialist,2023-09-29,,False,3.9,,67691.0,4.2,5.7,9021,False,2.75,False
10432,Engineering,Product Eng,Engineering Associate,2019-01-09,,False,2.5,2026-03-13,110381.0,1.0,0.4,9019,False,7.47,False
10363,Engineering,Platform,Engineering Associate,2021-10-01,,False,3.3,2024-03-05,97173.0,2.9,22.3,9032,False,4.74,True
10453,Engineering,Data Eng,Senior Engineering Specialist,2023-02-07,,False,4.1,,101065.0,2.2,1.1,9008,True,3.39,False
11038,Marketing,Brand,Senior Marketing Specialist,2022-02-12,,False,4.1,,80038.0,3.7,4.1,9026,True,4.38,False
10320,Engineering,Data Eng,Senior Engineering Specialist,2021-04-20,,False,4.0,2022-05-06,113059.0,3.1,10.1,9008,True,5.19,False
10729,Finance,FP&A,Senior Finance Specialist,2023-04-06,,False,4.2,2025-10-09,77294.0,4.9,1.1,9014,True,3.23,False
11067,Marketing,Growth,Senior Marketing Specialist,2022-04-16,,False,4.0,,84250.0,2.8,3.2,9021,True,4.21,False
10750,Finance,FP&A,Finance Associate,2020-07-31,,False,2.2,,67188.0,3.3,0.0,9014,False,5.91,False
10928,Finance,Accounting,Senior Finance Specialist,2024-12-10,,False,4.5,,92391.0,3.7,1.9,9003,True,1.55,False
10749,Finance,FP&A,Senior Finance Specialist,2019-07-07,,False,4.1,,77504.0,1.9,3.5,9014,True,6.98,False
10686,Support,Tier 2,Support Associate,2019-09-20,,False,3.3,2022-07-20,51283.0,3.6,1.0,9038,False,6.78,False
10612,Support,Tier 2,Support Associate,2021-01-17,,False,3.2,2023-04-18,45908.0,3.9,2.4,9038,False,5.45,False
10648,Support,Tier 1,Support Associate,2020-09-25,,False,3.2,,47185.0,3.9,1.4,9000,False,5.76,False
10357,Engineering,Data Eng,Engineering Associate,2021-04-10,,False,2.8,,109545.0,4.2,2.2,9008,False,5.22,False
10672,Support,Tier 2,Support Associate,2021-01-17,,False,1.0,2023-10-15,40233.0,2.4,2.4,9038,False,5.45,False
10854,Finance,FP&A,Finance Associate,2024-05-01,,False,2.3,2025-05-05,79675.0,3.6,0.4,9014,False,2.16,False
10583,Support,Tier 2,Support Associate,2021-06-05,,False,3.5,2023-08-30,56937.0,4.6,0.6,9038,False,5.07,False
10765,Finance,FP&A,Senior Finance Specialist,2021-12-26,,False,4.1,,73549.0,2.3,0.3,9014,True,4.51,False
10310,Engineering,Product Eng,Engineering Associate,2022-12-26,,False,2.8,,102264.0,3.6,18.7,9019,False,3.51,True
10622,Support,Tier 1,Support Associate,2023-08-04,,False,3.0,2025-03-30,54283.0,2.9,0.9,9000,False,2.9,False
10557,Support,Tier 1,Support Associate,2021-01-19,,False,3.0,,54392.0,3.7,0.1,9000,False,5.44,False
11029,Marketing,Growth,Marketing Associate,2019-10-01,,False,2.1,,68036.0,5.0,3.4,9021,False,6.75,False
10632,Support,Tier 1,Support Associate,2023-06-17,,False,1.4,,45515.0,2.0,3.7,9000,False,3.04,False
11190,Marketing,Brand,Marketing Associate,2022-01-11,,False,2.9,2025-03-23,72957.0,3.1,3.4,9026,False,4.47,False
