employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10683,Support,Tier 1,Senior Support Specialist,2020-05-15,,False,4.6,Unknown,54746.0,2.7,3.2,9000,True,6.12,False
10735,Finance,FP&A,Finance Associate,02/12/2022,2024-10-09,True,3.4,Unknown,88036.0,2.2,3.6,9014,False,,False
10326,Engineering,Platform,Engineering Associate,14-04-2018,,False,1.3,Unknown,94825.0,2.7,25.7,9032,False,,True
10731,Finance,FP&A,Senior Finance Specialist,2019-01-11,,False,3.7,Unknown,71998.0,4.5,0.4,9014,False,7.47,False
11033,Marketing,Brand,Marketing Associate,2021-05-07,,False,2.7,Unknown,65336.0,4.1,1.8,9026,False,5.15,False
10246,Engineering,Data Eng,Senior Engineering Specialist,11-10-2018,2026-06-14,True,4.2,Unknown,103158.0,3.5,4.1,9008,True,,False
10117,Sales,Enterprise,Sales Associate,2021-11-15,,False,2.4,Unknown,49481.0,2.5,1.2,9018,False,4.62,False
10379,Engineering,Product Eng,Engineering Associate,2021-09-18,,False,3.4,Unknown,105139.0,3.6,21.3,9019,False,4.78,True
10237,Sales,Enterprise,Sales Associate,2018-05-21,2020-11-11,True,2.3,02-01-2021,50225.0,3.2,0.2,9018,False,2.48,False
10413,Engineering,Platform,Senior Engineering Specialist,10-02-2020,,False,4.7,04-04-2024,107306.0,2.5,5.0,9032,True,,False
10495,Support,Tier 2,Senior Support Specialist,17-08-2020,,False,4.2,2026-01-04,56034.0,3.4,0.5,9038,True,,False
10997,Marketing,Brand,Marketing Associate,2024-12-23,,False,2.0,Unknown,71059.0,3.4,6.3,9026,False,1.52,False
11158,Marketing,Brand,Senior Marketing Specialist,2022-01-21,,False,5.0,Unknown,76393.0,5.0,7.4,9026,True,4.44,False
10705,Support,Tier 2,Support Associate,09/19/2018,,False,2.1,Unknown,47435.0,4.6,3.0,9038,False,,False
11040,Marketing,Brand,Marketing Associate,2018-04-22,,False,1.0,Unknown,66855.0,2.7,6.7,9026,False,8.19,False
10296,Engineering,Data Eng,Senior Engineering Specialist,2020-12-30,,False,4.7,Unknown,105652.0,3.5,6.0,9008,True,5.5,False
10144,Sales,Enterprise,Sales Associate,2018-05-19,,False,3.1,Unknown,52868.0,2.2,3.9,9018,False,8.11,False
10161,Sales,SMB,Sales Associate,2020-09-27,,False,3.0,Unknown,61040.0,1.0,1.8,9037,False,5.75,False
10704,Support,Tier 2,Support Associate,03/12/2018,,False,3.1,Unknown,54715.0,2.5,3.5,9038,False,,False
11176,Marketing,Growth,Marketing Associate,05/09/2018,,False,3.4,Unknown,73157.0,3.7,2.0,9021,False,,False
10402,Engineering,Product Eng,Engineering Associate,08/28/2024,,False,3.6,Unknown,107656.0,3.5,1.0,9019,False,,False
10669,Support,Tier 1,Senior Support Specialist,05/02/2021,,False,3.7,Unknown,48371.0,3.1,2.6,9000,False,,False
10351,Engineering,Product Eng,Engineering Associate,02/15/2021,2023-06-20,True,3.6,Unknown,105763.0,4.2,3.8,9019,False,,False
11096,Marketing,Brand,Marketing Associate,11/12/2019,,False,3.5,05/31/2024,72169.0,3.7,0.1,9026,False,,False
10612,Support,Tier 2,Support Associate,2020-11-23,,False,3.2,Unknown,54233.0,2.4,2.8,9038,False,5.6,False
10155,Sales,Enterprise,Sales Associate,2023-05-03,,False,2.0,Unknown,53464.0,4.4,4.9,9018,False,3.16,False
10344,Engineering,Data Eng,Engineering Associate,21-11-2024,,False,3.0,Unknown,105040.0,5.0,21.9,9008,False,,True
10781,Finance,Accounting,Finance Associate,28-04-2022,,False,3.5,2025-08-19,79272.0,4.4,0.3,9003,False,,False
10998,Marketing,Brand,Senior Marketing Specialist,2021-07-20,,False,4.0,Unknown,66653.0,1.4,0.6,9026,True,4.94,False
10872,Finance,FP&A,Finance Associate,05/01/2024,,False,2.0,06/24/2026,69759.0,4.6,0.4,9014,False,,False
10301,Engineering,Product Eng,Engineering Associate,10/26/2024,,False,3.7,16-06-2025,99998.0,2.8,5.3,9019,False,,False
10894,Finance,Accounting,Finance Associate,14-03-2025,,False,1.9,06/05/2026,58338.0,3.0,3.2,9003,False,,False
10940,Finance,FP&A,Senior Finance Specialist,12-12-2022,,False,4.5,Unknown,79413.0,1.9,0.4,9014,True,,False
10226,Sales,Enterprise,Sales Associate,08/09/2018,,False,2.7,Unknown,51285.0,3.9,1.2,9018,False,,False
10173,Sales,SMB,Senior Sales Specialist,09/18/2018,,False,3.9,Unknown,49658.0,3.1,1.4,9037,False,,False
10408,Engineering,Data Eng,Senior Engineering Specialist,09-12-2020,,False,4.3,Unknown,107846.0,1.6,5.7,9008,True,,False
10482,Support,Tier 2,Support Associate,2022-09-19,,False,2.6,2023-07-15,56619.0,4.5,7.4,9038,False,3.78,False
10352,Engineering,Product Eng,Engineering Associate,2021-05-26,,False,2.5,Unknown,102190.0,2.7,0.3,9019,False,5.1,False
10955,Finance,Accounting,Finance Associate,29-07-2019,,False,2.6,02-03-2021,75576.0,4.1,2.2,9003,False,,False
10502,Support,Tier 2,Support Associate,2025-03-25,,False,2.7,2025-11-14,48645.0,3.5,2.0,9038,False,1.26,False
10064,Sales,Mid-Market,Sales Associate,02/24/2019,,False,3.2,Unknown,54934.0,Unknown,0.8,9009,False,,False
10961,Marketing,Brand,Marketing Associate,05-08-2018,,False,3.3,Unknown,80338.0,3.1,5.7,9026,False,,False
10293,Engineering,Data Eng,Engineering Associate,20-10-2019,,False,2.5,11/08/2024,94231.0,2.6,1.9,9008,False,,False
10089,Sales,Enterprise,Senior Sales Specialist,2020-12-08,,False,4.3,09-03-2023,64574.0,3.0,1.7,9018,True,5.56,False
10658,Support,Tier 2,Support Associate,08/07/2020,,False,2.7,2021-06-10,48988.0,3.2,7.5,9038,False,,False
10339,Engineering,Data Eng,Engineering Associate,2024-05-22,2026-01-25,True,1.4,Unknown,98450.0,4.8,0.6,9008,False,1.68,False
10916,Finance,FP&A,Finance Associate,09/07/2020,,False,3.1,Unknown,76815.0,4.4,2.8,9014,False,,False
10416,Engineering,Data Eng,Engineering Associate,19-07-2021,,False,2.8,Unknown,107967.0,3.2,2.3,9008,False,,False
10842,Finance,FP&A,Finance Associate,04/16/2025,,False,1.7,Unknown,77935.0,4.1,0.8,9014,False,,False
10833,Finance,FP&A,Senior Finance Specialist,2019-07-21,,False,4.0,Unknown,94536.0,5.0,1.3,9014,True,6.94,False
10215,Sales,Mid-Market,Sales Associate,2019-01-22,2025-06-25,True,3.5,Unknown,58351.0,2.0,1.8,9009,False,6.42,False
10899,Finance,FP&A,Finance Associate,24-11-2022,,False,2.1,Unknown,68735.0,3.9,1.4,9014,False,,False
10668,Support,Tier 2,Senior Support Specialist,19-08-2024,,False,4.6,Unknown,50641.0,3.0,4.6,9038,True,,False
10404,Engineering,Platform,Engineering Associate,11-01-2023,,False,3.1,Unknown,114194.0,3.5,0.7,9032,False,,False
10983,Marketing,Brand,Marketing Associate,01/27/2025,,False,3.0,09-01-2026,63153.0,2.8,3.4,9026,False,,False
11119,Marketing,Brand,Marketing Associate,03/18/2019,,False,3.0,Unknown,65189.0,4.6,0.0,9026,False,,False
10513,Support,Tier 2,Senior Support Specialist,2020-11-28,,False,3.9,2024-03-05,51217.0,4.2,2.7,9038,False,5.59,False
10771,Finance,FP&A,Senior Finance Specialist,25-04-2025,,False,5.0,Unknown,81999.0,5.0,12.2,9014,True,,False
11023,Marketing,Brand,Senior Marketing Specialist,20-01-2020,2024-06-30,True,3.7,Unknown,70637.0,3.2,0.9,9026,False,,False
10939,Finance,FP&A,Finance Associate,02/25/2020,,False,1.2,Unknown,68501.0,3.5,1.1,9014,False,,False
10018,Sales,Mid-Market,Sales Associate,2021-04-15,,False,2.7,Unknown,50423.0,4.8,1.6,9009,False,5.21,False
10714,Support,Tier 2,Senior Support Specialist,03/21/2018,2022-12-28,True,5.0,Unknown,54586.0,3.7,3.8,9038,True,,False
10953,Finance,FP&A,Senior Finance Specialist,11-09-2019,,False,3.8,21-06-2021,83106.0,1.5,2.9,9014,False,,False
