employee_id,department,team,job_role,hire_date,exit_date,attrition_flag,performance_rating,last_promotion_date,compensation,engagement_score,overtime_hours_per_month,manager_id,is_top_performer,tenure_years,high_overtime
10090,Engineering,Data Eng,Engineering Associate,2018-07-23,,False,3.0,,96395.0,3.3,9.8,9021,False,7.94,False
10059,Engineering,Enterprise,Sales Associate,2020-09-03,,False,2.1,,56942.0,3.5,0.7,9014,False,5.82,False
10071,Engineering,Data Eng,Engineering Associate,2018-03-28,,False,3.3,2021-08-25,93546.0,4.5,15.4,9021,False,8.26,True
10113,Engineering,Data Eng,Senior Engineering Specialist,2023-11-19,2024-12-16,True,4.8,2024-06-21,113812.0,2.3,6.3,9021,True,1.08,False
10060,Engineering,SMB,Senior Sales Specialist,2024-04-14,,False,4.2,,66896.0,3.9,4.1,9027,True,2.21,False
10164,Engineering,Tier 2,Support Associate,2023-04-23,,False,3.2,,49122.0,4.8,11.9,9027,False,3.19,False
10180,Engineering,Tier 2,Support Associate,2025-04-22,,False,2.1,2026-02-08,46343.0,2.4,1.7,9027,False,1.19,False
10263,Engineering,Brand,Senior Marketing Specialist,2024-04-26,,False,4.5,2025-08-16,76732.0,1.8,1.7,9027,True,2.18,False
10096,Engineering,Platform,Engineering Associate,2021-06-05,,False,3.4,2022-06-24,101186.0,2.9,5.1,9014,False,5.07,False
10169,Engineering,Tier 1,Senior Support Specialist,2022-04-04,,False,4.3,2022-02-12,49197.0,2.8,0.8,9004,True,4.24,False
10273,Engineering,Growth,Marketing Associate,2025-02-08,,False,1.9,,71821.0,3.3,0.2,9017,False,1.39,False
10287,Engineering,Growth,Marketing Associate,2018-12-15,2023-06-19,True,3.2,2023-11-25,61997.0,4.2,0.3,9017,False,4.51,False
10296,Engineering,Brand,Marketing Associate,2025-03-21,,False,2.5,,58249.0,3.1,6.0,9027,False,1.28,False
10224,Engineering,Accounting,Finance Associate,2023-02-21,2025-11-11,True,2.4,2025-08-15,79315.0,3.9,0.3,9004,False,2.72,False
10300,Engineering,Growth,Marketing Associate,2021-08-07,,False,2.4,2022-04-04,63596.0,4.5,11.6,9017,False,4.9,False
10081,Engineering,Data Eng,Senior Engineering Specialist,2018-01-15,,False,5.0,,101906.0,2.8,11.5,9021,True,8.45,False
10228,Engineering,Accounting,Senior Finance Specialist,2022-01-28,2022-10-29,True,4.6,,88352.0,1.9,13.2,9004,True,0.75,False
10019,Engineering,Mid-Market,Senior Sales Specialist,2020-11-11,,False,5.0,2026-03-22,54483.0,3.7,5.2,9021,True,5.63,False
10211,Engineering,Accounting,Finance Associate,2023-09-28,,False,3.7,2025-03-21,68045.0,2.5,0.6,9004,False,2.75,False
10012,Engineering,Mid-Market,Sales Associate,2018-02-05,,False,2.2,,52758.0,2.5,3.0,9021,False,8.4,False
10123,Engineering,Tier 2,Support Associate,2022-01-21,,False,2.4,2024-04-09,52936.0,4.7,3.7,9027,False,4.44,False
10147,Engineering,Tier 1,Support Associate,2024-12-29,,False,3.0,2026-05-29,51915.0,2.7,0.3,9004,False,1.5,False
10052,Engineering,Enterprise,Sales Associate,2019-04-08,,False,3.4,,62199.0,3.8,9.1,9014,False,7.23,False
10185,Engineering,FP&A,Finance Associate,2021-11-03,2025-01-04,True,3.6,,73788.0,1.0,2.1,9033,False,3.17,False
10257,Engineering,Brand,Marketing Associate,2023-04-15,,False,3.6,2024-08-16,76855.0,3.8,1.1,9027,False,3.21,False
10133,Engineering,Tier 2,Senior Support Specialist,2024-01-30,,False,4.5,,56832.0,1.8,2.5,9027,True,2.41,False
10013,Engineering,Mid-Market,Sales Associate,2022-01-06,,False,2.5,2022-12-23,61814.0,5.0,0.1,9021,False,4.48,False
10243,Engineering,Growth,Marketing Associate,2021-06-26,,False,3.6,2023-03-19,63238.0,3.4,3.0,9017,False,5.01,False
10028,Engineering,Enterprise,Sales Associate,2018-04-02,,False,2.9,,50679.0,3.6,3.4,9014,False,8.24,False
10229,Engineering,Accounting,Senior Finance Specialist,2021-10-20,,False,3.7,,95754.0,4.1,2.9,9004,False,4.69,False
10030,Engineering,Enterprise,Sales Associate,2022-03-29,2025-08-14,True,3.6,,61397.0,2.5,0.6,9014,False,3.38,False
10194,Engineering,FP&A,Finance Associate,2024-02-03,,False,2.6,,74756.0,4.2,2.0,9033,False,2.4,False
10106,Engineering,Product Eng,Engineering Associate,2022-05-16,,False,2.1,2026-06-05,96704.0,3.9,5.3,9009,False,4.12,False
10234,Engineering,Accounting,Finance Associate,2018-08-11,,False,3.7,,82354.0,3.1,0.4,9004,False,7.89,False
10074,Engineering,Product Eng,Engineering Associate,2019-03-19,2025-04-10,True,3.2,,114806.0,3.4,0.1,9009,False,6.06,False
10222,Engineering,FP&A,Senior Finance Specialist,2021-07-16,,False,4.3,,85284.0,4.2,0.0,9033,True,4.96,False
10195,Engineering,FP&A,Finance Associate,2018-12-05,2019-09-26,True,3.5,2023-12-19,78640.0,3.5,0.1,9033,False,0.81,False
10250,Engineering,Brand,Marketing Associate,2019-08-23,,False,2.8,2023-06-05,77713.0,4.3,17.2,9027,False,6.85,True
10089,Engineering,Platform,Engineering Associate,2018-03-11,,False,2.6,,112515.0,4.7,4.7,9014,False,8.3,False
10231,Engineering,Accounting,Finance Associate,2019-09-11,,False,3.2,,85179.0,5.0,2.3,9004,False,6.8,False
10148,Engineering,Tier 1,Support Associate,2024-01-24,,False,2.3,,41705.0,3.4,5.4,9004,False,2.43,False
10101,Engineering,Platform,Engineering Associate,2018-07-09,2024-01-26,True,3.2,2023-04-23,102173.0,3.6,3.9,9014,False,5.55,False
10202,Engineering,FP&A,Finance Associate,2022-04-22,,False,3.1,,81884.0,3.4,0.9,9033,False,4.19,False
10005,Engineering,SMB,Sales Associate,2023-07-24,,False,2.9,,53803.0,4.1,4.0,9027,False,2.93,False
10186,Engineering,FP&A,Finance Associate,2023-03-10,,False,3.2,2025-10-09,70238.0,3.4,2.3,9033,False,3.31,False
10086,Engineering,Platform,Engineering Associate,2021-01-14,,False,3.2,,111854.0,3.3,16.3,9014,False,5.46,True
10162,Engineering,Tier 2,Support Associate,2021-05-18,,False,3.2,,48571.0,3.1,8.4,9027,False,5.12,False
10158,Engineering,Tier 1,Support Associate,2019-01-12,,False,3.3,2022-07-18,52597.0,3.3,2.4,9004,False,7.46,False
10010,Engineering,SMB,Sales Associate,2024-02-26,,False,2.3,,50827.0,2.6,0.3,9027,False,2.34,False
10091,Engineering,Product Eng,Senior Engineering Specialist,2024-02-11,,False,4.5,2026-01-03,107325.0,2.2,1.5,9009,True,2.38,False
10017,Engineering,SMB,Sales Associate,2022-01-01,2025-03-12,True,2.5,,59879.0,3.2,0.8,9027,False,3.19,False
10237,Engineering,Accounting,Senior Finance Specialist,2022-05-08,,False,3.7,,76136.0,4.0,0.0,9004,False,4.15,False
10155,Engineering,Tier 2,Support Associate,2018-01-18,,False,1.7,,62184.0,3.5,4.6,9027,False,8.45,False
10001,Engineering,Enterprise,Senior Sales Specialist,2024-05-20,,False,4.7,2026-07-04,57437.0,2.6,0.0,9014,True,2.11,False
10252,Engineering,Growth,Marketing Associate,2018-12-25,,False,3.0,2022-09-06,74911.0,4.3,0.1,9017,False,7.51,False
10079,Engineering,Data Eng,Engineering Associate,2023-09-24,,False,3.6,,102474.0,4.4,0.3,9021,False,2.77,False
10261,Engineering,Growth,Marketing Associate,2025-04-14,,False,3.0,,66003.0,2.2,0.3,9017,False,1.21,False
10063,Engineering,Data Eng,Engineering Associate,2018-12-15,,False,3.4,,108927.0,2.2,2.9,9021,False,7.54,False
10112,Engineering,Platform,Engineering Associate,2019-06-03,,False,3.7,2024-05-05,106108.0,5.0,10.0,9014,False,7.07,False
10299,Engineering,Brand,Marketing Associate,2022-03-06,,False,1.1,2025-12-02,64698.0,5.0,3.1,9027,False,4.32,False
10160,Engineering,Tier 2,Senior Support Specialist,2021-01-25,,False,4.5,,59174.0,3.4,1.4,9027,True,5.43,False
10118,Engineering,Platform,Engineering Associate,2020-03-30,,False,3.3,2024-08-10,116741.0,4.5,0.1,9014,False,6.25,False
10168,Engineering,Tier 2,Senior Support Specialist,2022-07-12,,False,3.8,2025-01-29,44303.0,2.5,3.9,9027,False,3.97,False
10174,Engineering,Tier 2,Support Associate,2022-09-27,,False,2.6,,45840.0,3.0,0.5,9027,False,3.76,False
10198,Engineering,Accounting,Finance Associate,2019-08-13,,False,2.8,2023-06-17,97867.0,2.8,3.8,9004,False,6.88,False
10176,Engineering,Tier 1,Support Associate,2025-02-13,,False,2.2,2025-09-10,41126.0,2.3,0.6,9004,False,1.37,False
10040,Engineering,Enterprise,Sales Associate,2020-02-09,,False,2.0,,53258.0,4.0,7.4,9014,False,6.39,False
10215,Engineering,FP&A,Senior Finance Specialist,2023-06-10,2026-02-07,True,4.2,2026-03-15,74519.0,2.7,1.0,9033,True,2.66,False
10094,Engineering,Data Eng,Engineering Associate,2022-12-22,,False,3.0,2024-12-07,103381.0,3.2,0.0,9021,False,3.52,False
10109,Engineering,Data Eng,Engineering Associate,2018-10-15,,False,2.0,,100486.0,3.7,2.1,9021,False,7.71,False
10289,Engineering,Brand,Senior Marketing Specialist,2019-12-12,,False,4.6,,69931.0,4.0,2.8,9027,True,6.55,False
